sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
c3083f49884b0b11d5b000b64eee96c3bf8cdd00,5723,120,36,21,0,88,5651,136,49,14,0,112,5574,116,36,13,0,90,5985,130,80,35,0,129,8,113,50,17,1,77
fac5e3d48a9f5fade7e2ea2f14ce3224de4dbe90,5605,133,48,7,0,97,3045,150,31,15,0,91,280,70,7,0,0,62,327,135,47,23,0,106,9,93,64,21,0,84
1fcbd3a23ce621b4b8ed448cda66238e779ff020,5550,107,48,18,0,120,2836,114,32,10,0,93,283,75,7,2,0,44,257,149,39,13,1,91,3,134,62,23,0,94
956a9b30ee71a54bcd40e981d9f3d3919f27939c,5632,136,42,16,0,93,2898,112,44,13,0,101,182,66,6,1,0,58,220,107,40,14,0,54,6,145,51,24,0,101
ecae46a87f3920ae3a1c9311e828cdcfd23bacb0,5513,113,36,17,0,109,3072,141,57,19,0,95,228,69,9,0,0,71,260,193,53,8,0,61,7,151,43,19,0,95
70b8809eebad7ebdcd9b7ed6f1ddd99ea1e30cb6,5607,140,74,21,0,100,3049,127,34,15,0,81,233,68,6,0,0,51,249,152,59,13,0,62,8,111,46,15,0,57
5e144b84c2052b42baab2a9fae900af0d523edaf,5697,136,45,17,0,115,2928,141,81,26,0,82,211,112,7,0,0,79,284,126,45,11,0,52,3,125,45,19,0,81
1d61d8243f0f9a5f0b9de0f7df6201b92d15024e,5564,133,61,10,0,91,2876,120,67,26,0,89,191,92,9,0,0,44,300,122,48,20,0,106,3,101,32,19,1,93
5125549558dd8d59df4ed2e990fb6cd3334fb5ca,5725,170,40,16,1,115,2831,134,55,24,0,96,151,96,8,1,0,69,246,129,43,8,0,66,5,154,58,22,0,95
6ac486614ab877d6971dec2b43157039bf7978f6,5689,135,79,33,0,108,2962,111,40,13,0,86,164,115,8,1,0,51,254,184,51,23,0,58,7,98,53,22,0,94
dd82aff217f12ef66fdce3b18b963becc0734435,5678,127,46,14,0,111,0,0,0,0,0,0,0,0,0,0,0,0,331,100,45,14,0,81,0,0,0,0,0,0
9145b3c51440fc3594cfd22e1b9aeb7221b552c1,5666,131,46,23,0,97,2961,129,43,13,0,93,189,113,7,1,0,102,336,140,41,19,0,72,9,129,55,18,0,65
a93ea4925ebf06f67e1efc7a19cf21bd5d94bd65,5758,115,41,14,0,102,3249,120,53,17,0,91,164,84,7,3,0,35,315,167,32,21,0,77,8,163,49,17,2,82
9b696806c08e6fc9deef5aeb8bedc03c51606561,5646,123,41,9,0,100,2995,126,47,14,1,80,170,125,9,0,0,69,240,120,43,16,0,56,6,107,57,15,0,56
b02dd3e1468a48f4763902002b5a390d47b606fa,5702,121,47,18,0,85,2836,103,55,11,0,72,168,71,6,1,0,44,322,177,58,10,0,56,5,126,67,24,0,71
8fa6c285eaf39a69ac368e3e1c2778ac2c33fa5b,5604,98,45,12,0,103,3008,120,49,12,0,84,163,73,6,3,0,54,274,85,39,20,1,53,1,155,57,19,0,58
21d0c13d749e34793dde913345daf23e6a08be00,6014,133,41,21,0,118,2915,116,47,14,0,106,191,72,7,2,0,73,274,160,65,28,0,54,5,136,52,16,0,89
ad86bb6b5138a03dbbd64517f4a283aa01fd9593,5846,119,33,17,0,104,2867,118,42,11,0,71,182,70,7,1,0,46,213,157,49,14,0,112,10,125,52,13,0,87
3d61b585c6dc8cfd465e2d0ef0b7a0e7fba950b1,5761,123,47,12,0,94,3051,107,60,12,0,90,180,69,19,0,0,55,250,130,58,13,0,51,9,115,53,6,0,93
9ea7b79a55e4c9d31ca061858aeca3d22a605ed5,5831,122,42,15,0,152,3155,126,49,14,0,87,309,122,9,0,0,80,279,139,48,14,0,74,7,130,49,21,0,73
239ac22ec54e6585b2a92f554e255cb16baecf5b,5697,118,53,20,0,108,2901,108,43,13,0,92,144,66,9,0,0,32,214,99,30,17,1,50,5,127,51,14,0,71
956922200886b753c57587d59900ce4e740ae775,5659,105,48,12,0,123,2975,92,41,17,0,88,376,68,8,0,0,49,232,131,42,15,0,72,12,133,75,27,1,70
