sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
18260e1ccbdb5fbf03fe752940193ffc7184f8b8,2484,50,52,11,0,128,2469,45,50,9,1,158,2501,56,56,18,0,152,2426,60,50,5,2,150,6,36,87,43,4,96
d5bd3a2f66a9d92e5b222303e2247b5c7f5966ca,2408,45,44,10,0,133,1815,47,41,13,1,168,245,48,28,0,0,94,236,55,50,12,0,104,16,52,93,32,5,149
11da199bb71f0496c2c00ea637bab089bc846603,2278,54,51,8,0,124,1489,45,41,4,0,100,71,47,7,0,0,80,133,42,43,5,0,104,10,28,82,20,5,167
620dd34a6b7bff998c56798adcae0c53903b552f,2366,47,51,7,0,161,1573,44,40,5,0,124,84,42,26,0,0,62,141,37,48,7,1,103,10,56,98,33,4,128
fc66bc6ecc3486418f63bbe35654a647b6039277,2453,49,53,6,0,134,1771,47,50,10,0,146,157,31,12,0,0,79,183,59,66,15,1,131,4,55,103,34,4,122
69b6f7f5b7b7a1597283322ee0c079cd51cbc196,2292,40,39,5,1,131,1892,58,40,6,0,144,145,34,12,0,0,125,145,45,44,2,1,79,12,55,91,28,1,161
abee8a0459dbf7651cf8c0ef9fb5018e85c387aa,2502,32,42,5,0,142,1766,49,45,6,2,132,124,43,16,0,0,95,193,102,56,12,0,128,8,39,74,30,2,111
a9605415da2153729f375cefa155230d402ab29a,2425,56,62,11,1,149,0,0,0,0,0,0,0,0,0,0,0,0,132,75,52,9,2,106,9,68,140,35,5,207
aca383f00275e55a479d68c9ac72e3eebf9dae3b,2531,60,59,5,0,153,1631,41,40,7,0,105,124,27,11,0,0,88,138,52,41,9,0,83,7,32,71,25,4,92
7b5d0c91522cb9e5ec0bb01baa4ffafd3ea6affb,2435,56,38,13,0,162,1824,53,57,17,1,180,89,47,8,2,0,63,134,68,63,10,1,83,14,66,124,25,2,159
9430f0c7b202e3b8c0db075eea217a67a49771d6,2363,48,48,9,0,154,346,46,13,0,0,99,0,0,0,0,0,0,102,49,37,12,1,101,0,0,0,0,0,0
b334963a55a911b63ef46c7be8e8cd0490417982,2483,56,58,9,0,174,1712,39,34,8,0,137,93,50,16,1,0,71,130,46,35,7,1,101,13,46,105,26,1,174
98f43f71bff9df873f41629810016f9d20b90e38,2466,41,45,4,1,167,1494,43,33,5,0,124,137,31,12,1,0,101,182,85,73,16,2,161,7,35,60,22,3,95
ed9c27b4231e747213c60581f2dd2864dae5496f,2583,47,51,17,0,167,1675,41,39,7,1,106,146,33,11,1,0,89,153,39,53,16,1,118,6,37,79,19,5,126
bc24abd8079234533f1f4bd5d6c7c8af50448ca8,2466,51,63,7,0,189,1622,44,41,7,0,119,132,36,23,1,0,74,200,58,50,15,2,110,6,84,105,24,5,143
757ed8182ced049e266a82c85cdf317db428c83c,2418,35,47,4,0,153,1764,47,42,14,1,117,118,44,23,0,0,88,184,74,55,15,1,119,8,33,83,25,0,131
588643a53afb09e8253888848945542f81f424c1,2626,50,53,6,1,162,1612,49,35,8,1,119,113,28,17,1,0,66,164,80,66,17,0,122,7,37,90,26,5,145
7f8e5e5833b87a3c0a190fa0ecc045e1c90fbed0,2467,47,46,8,0,156,1722,43,42,9,0,120,242,29,11,0,0,83,241,48,72,13,1,135,7,47,92,19,1,120
a968c4881c091fbbb407d74eca3a2d20af87b4eb,2496,51,44,5,0,162,1723,36,31,7,0,105,243,41,23,0,0,88,159,39,54,8,0,90,6,47,97,41,1,152
ccc13be1d8971ad63b0d47293ea9241962f7e0e1,2360,57,47,9,1,133,1791,53,41,6,1,107,152,30,11,0,0,76,169,67,50,13,1,110,10,67,103,43,2,179
f548e1d946e3e65585051a63af546b1d5b93a441,2378,43,50,3,0,149,1963,48,37,9,1,153,188,50,24,1,0,106,277,110,79,9,0,113,3,33,58,23,2,96
43404b142f799ce1c503daea97da0538d7160798,2626,51,45,12,1,160,256,59,32,0,0,84,65,60,9,0,0,84,136,55,54,10,0,117,11,42,64,23,2,127
60df018d04cb8c721b89afc8810d6cec4785e372,2618,63,43,7,0,171,1588,43,51,9,3,122,43,44,19,0,0,59,133,47,51,6,0,84,16,128,143,34,3,166
98e7c5dbe4d84191a597f7c893178ec0b225f43b,2555,39,44,10,0,151,1827,51,42,9,0,117,93,64,24,1,0,77,116,42,41,5,0,92,13,80,136,27,2,190
8a64213bbd8be24d248c2594317ce81915df42ed,2530,46,57,6,0,130,1884,54,53,19,1,133,229,59,13,1,0,123,218,89,73,12,2,136,9,51,76,20,2,132
5cd9ca272355892b0d4cd29eea92dc46cf5b0bfa,2516,46,40,6,2,160,1799,43,47,7,0,122,214,42,12,1,0,77,197,73,82,8,0,126,10,33,94,28,6,111
