sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
9b15b2008bd9dc654127629d40009899a4104e67,6448,423,186,57,0,216,6197,423,171,44,0,197,6190,443,198,82,0,208,6395,424,189,70,1,204,8,329,203,77,0,93
a345812f8fe6e80b8626b44eeb9f960842737bb6,6332,414,206,66,0,202,3569,364,204,80,0,169,285,335,13,1,0,72,519,397,191,75,0,116,6,323,55,31,0,65
bae558d829400e0fee781cf60de295841afcf68b,6536,448,228,92,0,249,3819,428,226,65,0,208,57,316,7,0,0,97,550,483,245,98,0,165,6,325,75,42,1,61
989cea121f33b6a4e35d99a0fdd3f8d599abff0c,6357,446,205,67,0,198,3789,375,210,52,0,115,105,271,7,2,0,55,554,348,214,86,0,141,6,342,82,33,0,77
9f8fe5b1bfed58169a01c6f2d8648f77b8743b89,6465,494,231,87,0,262,3648,403,253,79,0,129,280,330,15,1,0,73,689,370,235,76,0,172,5,286,63,26,1,46
3c2e5880e592b327c179c59efb269bbfbfe2d52f,6287,425,186,66,0,209,3568,416,222,65,0,114,118,298,7,1,0,52,661,331,206,68,1,118,6,307,68,30,0,61
6756fd62dd70a8eaa6f53527a96a87f3ec54c765,6587,519,274,79,0,222,3766,396,223,73,2,195,153,366,9,0,0,79,679,406,195,91,0,220,6,299,64,39,0,46
eafa46e2f5e53791f6dbaa1acab007b2394909aa,6353,494,191,63,0,223,3542,385,191,62,1,116,94,314,1,2,0,58,616,365,238,92,0,169,4,327,88,25,0,55
15cc3d301ac848eddc1dfbb6df9745d61c2f76f5,6442,416,193,74,0,201,0,0,0,0,0,0,0,0,0,0,0,0,596,335,217,109,1,183,0,0,0,0,0,0
0be34d87125f0e5a14feb6dd27cd1d9ecca0ad51,6260,422,232,72,1,226,2260,347,108,45,0,116,135,337,0,1,0,101,584,340,194,69,0,128,2,333,94,36,1,91
c76b75f68c5f90e8d82198130877042d4ff388e3,6669,447,241,81,0,227,3863,442,232,72,0,243,181,328,8,0,0,85,668,466,233,90,1,129,11,342,82,35,3,143
1c33a71c86d499bbc0381552763c759ef22134c8,6302,521,203,90,1,200,3691,411,201,72,0,162,406,329,14,1,0,115,803,436,240,80,1,146,3,313,65,45,1,65
63b64ba9d1a7d0e0a5fcbd3259335e364a84d441,6497,512,226,77,2,200,6302,408,187,71,1,218,6144,459,191,63,3,199,1709,411,219,69,0,94,17,411,234,71,1,121
8dc4eec3bc4dd7fe3eb698c5cae8e204317d3e67,6442,470,219,77,1,255,3694,450,228,86,0,129,177,330,8,1,0,68,611,354,171,61,0,136,11,375,215,66,0,149
c78e510a6d557740eb1c692bf385dbc71bf6dd09,6452,474,208,59,0,216,3579,427,185,57,0,177,199,406,10,3,0,73,653,331,206,77,0,130,20,354,215,89,2,119
9c0b8ad67142f44e7dcc84583c8182e20351d992,6612,492,257,99,0,224,6250,459,193,54,0,208,6128,401,188,58,1,195,1701,385,175,62,0,111,13,323,195,65,1,96
b68a9cf2a9662d8243498a0c8131fbad5102014b,6169,425,177,64,1,185,9,295,0,1,0,40,32,398,0,0,0,56,567,394,178,75,0,135,13,332,208,70,0,150
3389583fd6c1960c48f3e384067617659a255bed,6754,500,221,64,1,204,3612,398,237,76,1,208,89,359,2,1,0,39,588,383,225,83,0,149,12,338,201,76,0,116
0faec47ffceada0c9909fb28e794366f752d5fe5,6217,450,184,57,0,200,8,282,0,0,0,44,10,281,0,0,0,46,586,384,177,92,0,150,17,360,185,94,0,141
