sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
2d7b0d1949403a5cce39c893da5f047fb596070b,6283,198,57,26,0,212,6198,231,45,17,0,212,6161,226,57,16,3,200,6622,202,58,25,0,199,7,199,86,41,0,107
845f651300dbcdbfae00ec75db0c9a94244b6e93,6213,210,47,17,0,208,4067,225,46,10,1,176,368,163,13,1,0,99,264,257,68,14,1,140,12,205,75,30,3,130
81075d7fb1fa1102e53b0f159004e81f30567b1e,6015,215,51,9,0,195,3607,185,58,8,3,152,257,213,29,1,0,85,294,242,69,15,0,138,13,192,85,34,2,113
ba631b9d4a542885303aa7bd5952ad38b3d7e990,6158,212,68,21,4,232,3820,179,55,6,1,157,380,117,12,0,0,106,270,216,63,21,2,148,5,202,66,27,4,94
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,6210,219,54,16,1,168,3615,178,62,11,0,143,144,162,6,0,0,72,202,235,70,11,0,120,7,225,95,32,2,154
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,6232,241,57,20,1,173,3715,173,45,21,2,151,254,186,11,0,0,121,402,311,85,25,0,129,13,184,70,24,1,116
010c87d9170f3e86a001a6351699aef1ae168fcf,6049,210,51,13,0,226,3809,208,51,14,1,135,331,147,16,0,0,104,220,232,89,14,0,143,9,224,103,43,1,126
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,6425,235,52,24,0,166,3785,208,48,20,1,156,296,196,11,1,0,97,195,213,80,25,0,150,13,207,109,36,0,164
a79e8443ab85d01fc71154ae7d2296f65ad89d20,6135,237,58,27,1,201,4042,209,48,10,0,161,287,239,15,0,0,133,185,204,76,7,2,117,16,216,82,28,3,109
448718f23015abb49120fd77f4931c5b6266f2b0,6516,183,56,11,0,218,3678,172,43,10,3,159,321,219,15,0,0,95,309,219,62,17,0,116,12,238,85,22,2,107
4c306c847ebc63d8642f62d0de4f56ff6250afb5,6132,192,60,11,1,183,4062,198,54,13,1,134,405,301,38,1,0,107,189,257,72,14,2,137,17,288,136,31,2,143
4372e81347f5593c3dae8fc7b122c5d45c3057ef,6278,209,45,14,1,198,3755,184,39,15,1,169,417,154,12,1,0,130,315,224,65,22,0,124,7,193,75,44,2,100
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,6139,214,39,11,0,175,3738,229,36,23,0,191,450,174,13,0,0,138,786,147,55,11,0,110,15,268,104,24,2,130
77f7422ee589c192669dd962ff51be5143222177,6480,211,46,17,0,155,3867,204,69,12,1,174,133,216,6,1,0,90,207,330,77,24,1,126,10,187,83,38,4,176
f0c656067eafac31d99f38724bf422442848f4e4,6103,202,46,13,0,191,3847,189,59,12,0,172,444,202,17,0,0,157,267,151,73,18,0,152,9,247,78,30,0,87
a557ff1d4d283e8d5aca1be48f94cae919387b68,6428,210,51,15,0,168,3796,212,54,15,0,163,445,186,19,0,0,108,186,168,55,20,2,105,8,143,67,25,0,78
b70c659f88b83374092a4045f34318f5dd929423,6343,226,54,13,0,206,3806,175,44,10,0,147,411,139,15,3,0,93,129,189,66,16,1,118,9,154,85,33,3,158
2599ebe7d0008d8f342204e32f2ee05ea5b90fe4,6142,197,59,18,2,179,3783,183,41,9,0,138,114,120,8,0,0,71,191,237,81,18,3,182,15,206,69,42,1,111
c92a666d9f981cae52575957109dac5eb3e253b7,6286,223,71,18,2,189,3815,204,42,14,0,149,164,119,5,0,0,68,172,178,50,11,0,98,9,172,72,32,1,97
5882ac1c31f0a6d4a06767bafb5c46f674efedd7,6240,250,59,19,1,194,3830,191,47,14,0,180,150,189,5,0,0,103,163,162,72,14,2,123,8,167,60,31,0,86
e3a783d2d9f5c3d63d81647e0dcfb88ba610f3f9,6142,195,54,14,0,200,3807,180,55,15,1,132,419,225,24,0,0,107,240,308,75,36,1,162,9,205,82,39,3,116
d91858ca9e210f4cbe64f14e26af54aa03bfa389,6292,218,56,14,0,179,3765,220,65,22,1,153,423,185,17,0,0,120,205,288,94,28,0,187,13,174,75,37,3,144
83947c19ed11be929cd4349c6747df4c9e970b81,6139,198,45,17,0,162,3782,188,45,10,0,149,533,248,17,0,1,101,321,159,59,21,1,159,4,196,79,30,1,103
abd274913677669318771323b501609c506d52fd,6192,185,61,17,0,210,3569,175,52,12,1,149,54,142,6,1,0,67,231,313,75,24,1,123,16,218,119,41,2,116
568df5e6db9766c6f9a6dcd490984a55e6f0097e,6387,224,58,13,0,194,3565,205,60,20,0,171,82,146,6,0,0,65,189,283,102,13,0,130,11,150,91,30,0,87
