sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
a2b382da0a7424c9861da2750b40f332543314eb,5617,214,103,38,0,145,5523,169,99,24,0,142,5833,198,111,28,0,137,5760,179,112,28,1,173,5,149,91,27,0,94
5985fb7361c4b21cf789a9f5d89276afaa49674a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,5157,175,102,26,0,141,0,0,0,0,0,0,0,0,0,0,0,0,486,191,96,44,0,58,1,201,17,6,0,54
4926c32d147a7ace1b1729cffb3f106783b2e921,5228,179,90,35,0,113,2943,179,94,31,0,91,277,144,6,1,0,32,446,217,75,33,0,56,2,144,29,2,0,32
236ec5483c17b297a683493c74e55dcacbb6984f,3802,109,43,10,0,80,1875,103,39,11,0,46,159,84,18,2,0,39,441,192,82,28,0,58,0,50,8,2,0,17
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,5460,157,95,33,0,117,3009,170,97,24,0,128,385,137,14,4,0,42,500,210,112,33,0,59,2,125,12,1,0,20
42e821c9948d2759c066fa35ab59ebf7a42ce70d,5274,199,96,43,0,120,3115,234,127,33,0,79,324,163,13,1,1,31,539,261,115,38,0,61,2,195,18,5,0,28
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,5221,158,81,28,0,113,2899,174,99,18,0,90,336,119,8,2,0,35,655,265,120,34,0,73,3,131,20,7,0,35
922ccf0ce7597ce419fe208e67078b4ed7a0d047,5166,201,106,43,0,120,2896,162,98,35,1,87,359,135,16,2,0,57,621,175,108,41,0,60,1,179,13,6,1,47
34ce5b5f35adfbcbb5973de648987530cc9e7057,5585,163,110,20,0,115,2945,164,97,22,0,83,403,152,9,1,0,48,510,224,94,54,0,71,6,157,30,6,1,59
