sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
e62c4357c30998c53e58f57bf96af6d4161fefae,6304,675,92,260,0,207,6134,660,95,248,0,157,5809,607,86,241,1,178,6031,566,74,240,0,172,3,567,102,241,0,122
84889ddc96596abc9722bd7e49918ad183ab5264,5153,577,36,22,0,89,3171,618,21,14,0,60,96,570,7,5,0,37,193,647,41,15,0,51,3,589,70,227,0,140
acf94238558df6351df7518d6770eee3c9eb74b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,624,54,232,0,153
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,6221,591,69,248,0,184,0,0,0,0,0,0,0,0,0,0,0,0,327,597,95,241,0,143,6,549,63,215,0,114
2a3d527692b84600b402e8374e2828178e6b6074,5973,639,91,244,0,181,3521,610,100,235,0,176,425,572,21,211,0,92,353,598,105,259,1,140,2,565,74,228,0,165
e468fd406d5fe199b7a81bfea710d8dd06544384,5980,630,95,248,0,210,3502,571,75,231,0,152,458,574,18,208,0,158,336,631,116,259,0,185,4,614,68,228,0,148
28300ba17102a82578b5a43de1bda75d998ff053,6023,609,86,246,0,175,3586,586,88,226,0,155,447,567,19,213,0,129,277,642,101,242,0,151,6,595,79,233,0,150
48911d8ad6e94637db88f49328d935b1098e30c9,5771,682,82,245,1,207,3465,587,79,233,0,171,490,621,36,215,0,140,261,623,77,246,0,139,5,574,65,225,0,228
868b4ef3b4374f696731d4cdfd5b696de021ca45,5941,634,101,269,0,203,3674,606,86,237,0,165,452,575,20,209,0,139,332,550,77,249,0,142,7,551,48,227,0,174
c5c311adc95449c472eb37c77e4a17e044fb51e7,5900,599,83,233,0,191,3616,598,70,236,0,142,472,653,15,208,1,123,459,591,89,240,0,125,4,582,76,220,1,156
