sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
3d5338b8680e57904440d860200d31f6a7579541,7011,515,309,125,0,212,7318,501,226,97,0,260,7873,506,286,93,0,242,7070,501,280,104,0,280,9,625,264,118,0,215
2fffa3091f578379e87509ef32ff637e0f518897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43370ad7a73a3b18872bb54de624e0202b6bcf1f,5259,196,63,29,0,72,19,132,0,4,0,21,31,217,0,9,0,41,5186,166,46,23,0,93,4,152,57,20,0,53
869173dc53dffc6d7de53a317f9bc842ed1f6f9f,7218,458,278,97,0,263,4268,526,285,109,0,267,600,397,11,1,0,51,6857,422,252,108,0,298,21,505,298,147,0,198
e2ebcf830d9622149689e73ba0da250e78edd136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3aa3e0a4c256249334a815e48d3d1ebf0efd0324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,137,54,22,0,27
e85d61d62521644dbbf1cada0566af35f8c49607,7319,525,233,119,0,259,4339,487,303,113,0,196,830,472,17,3,0,57,7027,586,248,118,0,271,32,643,355,147,0,181
8ad9ece9f00cc4c1bfc86109b3dd5e0ee0cae90a,7338,576,308,139,0,287,4629,498,279,114,0,257,872,457,15,8,0,53,7176,549,308,117,0,313,14,505,259,120,0,140
7f2e97908ca753dc87d0d78342aab9a6dd152cc0,7002,467,254,108,0,240,4399,527,334,101,0,251,807,458,19,3,0,54,7277,563,258,120,0,219,17,525,309,130,2,144
e8b90de90c99106d76a8394d02317cf0a2e4c81d,7238,561,282,102,0,263,4254,491,279,98,0,244,892,436,12,2,0,55,6893,519,280,115,0,257,24,536,310,142,0,172
