sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
0b6b6a2ed3e4710a76a55aeac6e41a72b9ebeab1,5090,2753,16,10,0,158,5018,2842,18,13,0,118,5087,3047,22,11,1,143,5527,2839,21,21,1,137,4,1180,17,7,2,101
a6b4031f9a574b9f7322194ec45cc6cc845a2da4,4963,2709,19,22,0,122,3071,1995,13,6,0,100,132,1147,6,1,0,48,149,1164,30,14,0,75,4,1132,24,12,3,100
8d47d7d846e55d1eba6fbcb286909bb9e6c2b23c,5141,2832,16,15,1,120,2988,2046,30,4,0,116,67,1134,21,2,0,43,113,1288,27,5,1,74,8,1243,15,4,1,111
1c88a25efbdb7f9294b6f5e386debcfb51ade230,5108,2678,23,14,0,161,5042,2995,21,12,0,139,5134,2755,15,8,0,167,2417,1356,21,8,1,115,5,1269,21,11,0,101
a5430d96dd7af6eff5cfb0ae5fbab5e404f49038,5258,2859,13,23,2,142,0,0,0,0,0,0,0,0,0,0,0,0,1561,1762,39,13,0,109,7,1290,21,11,1,96
979cbe8b2127495e5fd326ee05523924ac2f7ec6,5161,2804,23,19,0,126,0,0,0,0,0,0,0,0,0,0,0,0,116,1163,32,2,1,78,5,1205,21,10,1,99
7159161974f3d2211a3185dd345976771bb6ef14,3670,5459,14,21,0,154,2612,4526,13,9,1,137,227,1266,25,2,0,64,226,1445,22,6,0,112,2,968,13,4,2,43
bedb1d76063d1cd23be216e238e3e850e896440b,3233,5947,16,29,0,155,2443,4050,8,10,0,127,132,1083,6,4,0,44,208,1200,15,4,1,60,5,1233,27,8,1,81
0200591e68d89d1a1bcfe7f6f8145a43fb129542,3207,5040,23,27,0,156,2514,4388,12,10,0,131,106,1167,5,3,0,50,136,1295,24,6,0,72,2,1274,18,3,0,86
a4142b9d31841aea41cb8d3560f6b4ba8e9ce9dc,3565,6249,19,28,0,138,3583,5781,22,26,1,111,3601,5971,16,11,0,131,678,2895,26,3,1,132,7,1241,17,13,0,92
b5b316dd947356a40b4dc433dc9bf0cbc7f20fbc,3466,5711,13,29,0,131,2512,4116,16,8,1,137,152,1178,6,0,0,73,130,1357,18,11,0,78,6,1252,18,11,0,95
2f1033a0588c4f1b3cb69c2f4c66f3d02d4f1a4c,3582,5780,23,12,0,153,3563,5729,17,22,0,156,3474,5575,59,17,0,164,166,1467,20,12,0,97,3,1286,22,9,0,88
f1ab912108eec627afd45ac6ba4b3d34f9531aaa,5518,2760,26,20,0,156,3812,2541,21,8,2,112,130,1154,7,4,0,53,135,1340,21,13,0,68,4,1244,20,9,1,74
e680e98b2c0fa4f281c4889264781271f4342285,5307,2857,21,21,0,139,4185,2373,15,20,0,105,154,1169,18,3,0,64,156,1196,38,9,0,94,2,1210,20,11,0,67
ab71efabaf1f1c4ddc955e813eec46a06bfe3c06,5323,2753,22,24,0,140,3977,2357,8,9,0,112,97,1046,5,2,0,65,109,1225,37,11,0,98,3,1235,24,6,0,95
29bf145d1a62492ad57ea698b97cbf7516b053d4,5342,2756,23,28,0,168,4056,2314,19,10,0,106,110,1166,6,2,0,70,131,1214,31,6,0,71,5,1260,19,14,1,88
c9258a07e0870398719537a0dcd4899cf6059528,5889,2958,28,22,1,169,5569,2712,28,25,1,141,5943,2993,26,15,1,135,2382,1612,17,6,0,142,1,1163,18,8,0,89
8b03a3fc2899f03f1fd5a38af67ee2a3a6105c8b,5758,3010,22,11,1,158,4074,2256,19,8,2,115,107,1132,6,3,0,70,106,1247,25,10,0,68,8,1195,18,10,1,93
cb065e0459e8a2f96af5fc75d3a40e48cd4179fb,5683,1105,22,23,0,137,4074,929,16,18,0,85,68,164,6,2,0,30,144,238,13,13,0,52,3,245,18,3,0,40
58933f01abcb1c913abb4dadda7a50cebcfa86c8,5680,2460,28,24,0,153,3993,2093,20,10,0,132,150,1020,7,1,0,57,168,1001,35,10,1,71,5,1056,33,7,1,105
c44ca0051c4fd27117e54174b0d0f07cbc0aecc0,5778,2727,15,19,0,155,4334,2147,25,12,2,125,150,932,10,3,0,72,218,1095,28,12,1,78,6,959,24,9,1,107
326352782b0ef56a31dcef08377a2cf34f5018b3,5843,2728,40,12,2,143,5739,2867,28,25,1,130,5536,2668,27,12,1,158,276,1092,31,8,1,128,4,1090,25,15,0,103
776c5e5f8415984c2d8400ee2f9738ebd7d5b37d,5701,2691,20,24,0,160,4220,2234,30,11,0,137,111,945,7,2,0,49,110,974,27,14,0,79,7,901,24,13,0,59
9ac7d6eb99b85782fb585ca2200b89b34dddcc6f,5962,2926,26,12,0,143,6061,2571,25,16,0,194,5426,2708,22,13,1,140,154,1152,31,9,0,58,6,1055,30,13,0,83
48914cf0436b93951720ff350f22bff06a849089,5792,2410,46,21,0,159,4287,2258,23,10,0,151,134,1025,9,2,0,45,143,1059,22,11,0,57,5,926,22,4,1,99
105eb88c47d0efd8800421c28f465c080ac5e48e,5873,2677,25,22,1,178,4149,2265,18,15,0,124,198,922,20,3,0,89,84,1094,31,8,1,77,6,1057,23,8,0,84
9e4bcf83d9cef09395c3e0145bd763a67c9aa53e,6191,2936,24,15,2,143,4247,2586,32,13,0,109,233,1474,28,1,0,57,238,1760,70,20,0,74,8,1546,85,20,0,77
5db96d20fb0eabace8fe3d5b68bbfc96538b808b,5771,3001,28,28,1,115,5861,2905,31,20,1,138,6026,2968,29,41,0,134,2504,2096,36,11,1,118,9,1567,81,21,0,113
6f4a66bc05a72fe101b2d4a953175d017f70d117,5710,2716,38,23,0,141,4388,2546,27,11,0,137,104,1359,31,1,0,61,115,1737,95,9,1,70,8,1716,84,18,2,90
3b3f8a7d1a7824938d08f825d085b7cd5979a2bf,6286,2946,20,14,0,124,4288,2446,30,15,0,140,196,1538,28,2,0,68,103,1763,56,13,1,85,8,1625,86,9,1,90
1416b197680bd3674c55f791a42ff89d977adb62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecdefac769e5a7b2cd36c93b9ba99a731fb5869b,5732,3029,33,19,1,154,0,0,0,0,0,0,0,0,0,0,0,0,75,1728,96,17,0,89,7,1570,74,11,3,81
f6b96bbe6504c995567223221df0304e2460f22e,6360,3437,33,26,1,171,6103,3156,33,31,0,165,6311,3285,45,15,1,153,2196,1887,72,16,1,101,1,1875,105,14,0,80
81c6152a5eb71985f19d8ce43588491bcc3896f2,6181,3175,33,37,0,136,4445,2834,35,16,1,138,231,1993,7,6,0,98,216,1944,71,20,0,80,7,1774,75,15,0,66
45cade7ffca1ec88db6f9e1ec844587a1489e6d2,6402,3427,36,27,0,164,4638,2871,39,18,1,161,124,1938,25,3,0,70,124,1866,50,19,1,96,3,1776,103,14,1,94
68b674ccf0aaa3689e3948228d03a8535c7fac28,6625,17052,38,28,0,183,6800,3153,44,27,0,144,7073,3350,70,31,0,157,3648,2318,41,16,0,131,9,1816,114,20,0,56
008295dc8eb51b9d2c5d664ceaa8e44df4fa4b25,6724,3191,29,33,0,163,6490,3137,46,39,0,152,6590,3244,73,23,1,192,709,1932,37,23,0,110,6,1784,92,16,0,78
aa398cedd1ec2a384c0d7604b57c69133f1ee369,6710,33299,32,28,0,150,5044,2760,40,12,1,128,127,1760,29,4,0,124,191,2068,77,21,0,84,9,1879,98,10,0,74
197f3d2111a3d05ee072c8e4956e17f646a16b45,6605,3431,35,22,1,153,6566,3223,49,28,0,171,6713,3235,64,34,1,159,1321,2130,112,10,0,144,8,1915,94,12,1,94
