sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
9435e5252e70babd05539c857f0fce17c9c7cb3d,6776,882,90,76,0,116,7019,866,90,86,0,119,6965,858,90,84,1,124,7037,878,83,64,0,151,4,921,92,88,0,102
f2d1889c11e6abc68d1518ddca8c6870ae47e300,6790,813,62,26,1,116,5137,822,43,17,0,116,418,780,16,4,0,64,88,812,87,21,1,54,7,889,82,32,0,104
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,6921,850,64,18,0,93,4897,820,45,21,0,109,490,855,14,12,0,63,109,797,64,23,0,64,3,787,63,24,0,56
554a524af2d2b30d09505516adc412468a84d8fa,7087,875,112,76,1,136,6929,922,117,69,1,138,6860,900,86,78,0,116,2371,901,100,82,1,104,12,892,98,81,1,67
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,6803,799,65,22,1,141,5258,852,61,13,2,99,537,827,14,7,0,83,106,815,88,26,1,54,6,793,72,31,0,45
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,7683,935,99,78,2,138,7336,881,121,59,0,113,7557,896,115,73,0,140,2541,824,100,71,0,100,10,955,127,90,1,62
873df3755f00cb12119a8646fa0a1ce0cf431c8c,7016,854,95,59,0,128,6957,880,97,70,0,126,6753,858,88,56,1,117,125,882,107,77,1,72,8,874,108,67,0,54
e83fe79a4083496dcbf87e29645e4dbe578957f0,7131,826,82,73,0,171,5039,813,89,57,0,101,560,867,17,9,0,89,146,849,97,82,0,75,8,843,93,64,1,107
322c261bbb6fd36162716abc3474e44f03c9a796,6986,842,88,81,0,150,5104,834,78,67,0,97,440,811,13,8,0,70,110,866,117,92,1,63,5,861,93,90,0,95
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,190,0,0,0,0,23,90,0,0,0,0,15,72,0,0,0,0,12,61,0,0,1,0,10,0,0,0,2,0,26
b2bed20f32897bd7f582a1752ba0a5f2a6799191,7379,878,102,70,0,113,7310,889,113,62,0,160,7714,920,95,85,3,122,176,1053,130,76,1,83,15,1021,142,147,0,102
b72cbaf5080b37c3c2bed2bb7ebd0bbb29183fd0,7329,880,98,73,1,142,5671,873,95,67,0,128,475,791,10,6,0,69,149,866,123,86,1,58,10,852,140,105,0,80
5b301ba50d647d4993635adcc3dc9eca0745f0c9,2266,51,61,60,0,86,1723,44,49,41,0,57,11,19,0,1,0,15,62,35,41,53,0,23,2,44,45,52,0,19
084f488f87a12de0657400c066a71c3b0b4b36fd,7676,890,102,88,0,114,5554,927,107,76,0,113,446,777,14,2,0,66,99,884,97,88,3,59,6,939,114,109,0,75
10d22fcb31027635156e722e62685a1932fab515,7323,893,104,71,0,148,5326,871,85,71,1,106,532,811,12,6,0,77,265,887,127,85,0,68,14,868,102,91,0,84
46a4d9e300f90db33758e2d058ef5ade9b094aae,203,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,9,0,0,0,0,0,0
997320f3270e3189b7bf2c960624f3f7a6c340b0,6886,846,70,433,2,125,0,0,0,0,0,0,0,0,0,0,0,0,3006,851,82,359,1,80,7,851,82,202,0,68
2d26e32c9520dd5764ad449b6a2471467ce63599,7521,932,95,446,1,135,7179,927,81,410,1,142,7730,914,96,435,1,137,94,914,87,249,0,68,11,970,76,269,0,90
7b7f48cef921c8128fec0541780ecd8300249f21,7256,887,82,379,0,112,5606,918,70,364,1,123,462,807,15,31,0,81,141,981,112,231,0,71,6,926,90,232,1,92
f52f0d077e038a4ab2c9b934691300f74e0cd96e,7652,905,85,472,2,143,5411,860,82,473,0,114,518,861,18,32,0,92,135,858,81,264,0,52,7,1037,110,205,0,92
3a0062f454ed19e1db53d6ea632a8ad06a9ec6e4,7967,917,85,505,0,142,5703,936,89,441,1,128,461,813,11,28,0,64,65,868,73,219,1,57,7,976,92,218,1,140
b2abd2e9c3f4f8521559d6282ff40896eb478291,7714,945,102,432,1,136,5476,904,80,425,2,117,525,804,19,36,0,68,115,954,102,236,1,67,13,946,95,205,0,133
0f7bdcd06fdd05b0159a205987fd1cc38bab3911,7470,973,95,485,0,133,5539,968,80,453,0,125,478,865,15,29,0,76,140,955,74,245,0,52,7,894,90,252,3,92
d56061dc9389545c712be42fe881ff16dd58182e,7761,893,91,435,0,136,5626,915,65,419,0,150,619,921,22,43,0,91,393,939,74,260,0,79,10,852,90,219,0,83
b03eb3c8c6083cc141fa8e9407cd115dba6eb5c0,7893,913,96,457,0,158,5503,889,80,394,1,110,562,990,14,35,0,75,208,883,89,202,1,68,9,890,78,213,1,70
1dd9a09bbe57e28f46ed2547c1efd5459f799f46,7636,933,93,437,0,128,5490,874,66,334,0,127,516,873,13,28,0,85,112,840,77,215,1,46,8,1166,106,238,1,97
65e9fee782834ec89e310181d5de1bb41b67adf0,7501,966,74,492,0,125,5730,920,84,399,2,121,478,847,10,37,0,85,162,816,86,201,0,56,7,888,77,212,0,88
5f9e768c13b29b848542ad92614981cafc5f983d,7518,951,113,405,1,140,5506,908,89,383,0,109,440,835,13,27,0,86,120,995,97,233,2,69,9,898,99,210,0,92
0830f01c740c80b5d544fbfab634bd648f369c95,7843,964,92,394,0,139,5429,854,61,423,1,135,541,885,14,34,0,102,183,929,115,281,1,77,9,927,91,216,1,95
ed7bb1573ffbc0ce3a875e1cf05cd36d9ca4418e,7742,921,105,452,1,125,5443,885,77,406,0,119,555,998,29,44,0,110,104,882,72,229,1,66,8,906,91,236,0,126
f49c7bd10f3252d166b185639e4d70d0fea7426a,7507,893,77,473,0,126,5759,908,83,419,0,107,479,891,11,32,0,84,126,1038,94,249,1,77,8,887,95,229,0,76
d089708d84e3a87f1275b78e5d17d47dd155e66e,7592,964,122,461,2,132,5513,964,77,419,0,121,521,855,17,32,0,66,107,868,84,248,0,64,10,992,94,209,1,99
9c7af24630fb2f7e73ecceae3360d124195c85f7,7495,915,97,472,0,117,5415,921,90,382,0,112,452,820,16,21,0,81,117,852,87,280,0,63,13,974,96,195,1,86
c24b058c98debb980e82909ab1fccfb0e3c0dfa6,6231,177,19,60,0,126,4736,165,14,65,0,63,59,95,6,4,0,23,89,186,12,9,0,21,8,287,21,10,2,27
de2f7d9a735e09ce21fd5cb7066b724ba88d3c5c,7173,916,94,520,0,135,5420,911,79,348,2,119,632,997,20,38,0,124,121,954,102,252,0,79,14,931,91,205,0,80
c022fdc0b1d0125f3e4ec471ab846f4d9ba491b1,2058,34,6,87,0,46,9,14,0,2,0,14,9,41,0,11,0,17,60,45,9,3,0,15,0,26,7,4,0,17
cccecd4dcd4141580833b9e8dad8c8755877df28,6219,170,14,45,0,93,4559,174,17,78,0,67,107,206,6,5,0,55,97,127,14,8,0,19,11,188,26,6,0,77
bd74736890d1490784f5dbe15b0ee9ca455b8264,5388,157,15,0,0,73,3524,155,13,4,0,64,56,86,6,3,0,17,157,164,17,2,1,24,4,133,13,4,0,19
c7d7d00cf487063be26abd5c43e9404b665c225e,7508,917,81,458,2,132,5469,885,70,359,0,120,547,862,25,34,0,84,229,956,110,277,0,66,7,816,68,205,2,108
19043dfcd4b19ba4b390e023e6019523f16c5dc3,7431,947,101,469,0,168,5508,949,105,435,0,104,460,877,27,28,0,81,233,1006,133,231,0,101,7,926,122,231,0,93
8961063ccaebbcb71e3ea627ab90a8c25bcdd75b,7496,953,112,481,2,138,5312,918,102,404,1,129,497,906,22,25,0,95,154,842,94,235,0,64,12,963,109,266,0,117
be523bc4b471c78a89108bffc9c3f7bf88cdf69c,7800,915,89,449,0,128,5554,906,70,436,0,86,620,871,21,26,0,75,118,874,88,283,0,60,6,874,73,234,1,113
9837cc4c335d0c3a7fba9e2d4ad42a70e663489c,7474,916,93,481,0,137,5426,892,72,383,0,109,710,988,29,55,0,86,291,940,105,233,2,66,8,897,109,237,0,66
b2c6a74523fea6aa4bae3e586c73ccef7a74fbdc,7742,977,96,478,0,150,5527,915,86,453,1,120,486,852,17,40,0,88,108,899,101,220,1,60,12,1079,126,229,0,79
eb1901f58307c49d4e442ee9c5d681e9fcdc26a4,7461,913,96,428,1,141,5540,972,106,394,2,122,511,940,26,40,0,94,157,855,101,234,1,68,6,955,109,217,0,85
5d8b527aeb6050aa0ebbda51ab0fe22ec2a72915,7294,978,132,555,1,139,5385,872,86,426,0,133,552,897,18,60,0,84,199,949,97,200,0,75,11,953,136,210,0,79
526a238a9d125645c4397f7b3ca7233b9930dbe7,7406,894,105,471,1,137,5458,928,70,394,0,132,519,893,20,43,0,89,90,853,94,217,1,72,7,841,97,197,0,84
78df4b92f9bf2da9e1d380e3c780381b03b6533a,7448,877,112,59,0,125,5455,885,92,59,0,111,670,856,14,8,0,76,245,822,129,73,0,73,12,849,93,88,1,91
82795d7f3c5c332f92f290c3351e741a8fda499e,7188,875,255,267,0,166,7369,964,266,271,0,182,7337,935,255,256,0,164,1340,988,250,327,1,125,13,1111,294,322,1,115
30dd0f31e05513f5c6782c241ad10d8e17bf2391,7278,943,309,277,1,155,5311,918,205,305,0,157,566,956,21,14,0,67,112,874,223,301,0,133,7,908,269,314,0,145
