sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
c3083f49884b0b11d5b000b64eee96c3bf8cdd00,5566,135,64,8,1,91,5491,121,37,9,0,100,5606,118,42,11,0,102,5865,137,39,13,0,95,10,182,74,19,0,103
fac5e3d48a9f5fade7e2ea2f14ce3224de4dbe90,5575,141,62,11,0,107,2916,102,42,8,0,81,356,75,6,0,0,89,297,167,120,29,1,61,3,116,44,21,1,86
1fcbd3a23ce621b4b8ed448cda66238e779ff020,5721,124,54,11,0,136,3009,119,41,15,0,83,313,83,19,2,0,56,244,143,43,13,0,116,6,108,55,15,0,118
956a9b30ee71a54bcd40e981d9f3d3919f27939c,5420,106,48,13,0,90,2900,114,44,21,0,79,186,74,8,0,0,52,359,179,80,50,0,89,5,182,80,20,0,115
ecae46a87f3920ae3a1c9311e828cdcfd23bacb0,5580,112,40,15,0,113,2781,107,36,14,0,85,209,114,5,1,0,70,257,95,46,7,0,57,8,119,72,15,0,113
70b8809eebad7ebdcd9b7ed6f1ddd99ea1e30cb6,5350,98,58,6,0,88,2826,111,45,15,0,90,206,68,8,0,0,55,291,109,44,15,0,88,10,180,47,20,0,102
5e144b84c2052b42baab2a9fae900af0d523edaf,5488,100,39,13,0,99,2819,107,39,13,0,69,248,82,8,1,0,63,280,121,36,15,0,59,4,92,42,11,0,72
1d61d8243f0f9a5f0b9de0f7df6201b92d15024e,5350,110,45,9,0,102,2928,101,51,13,0,75,164,88,12,0,0,38,249,116,39,13,0,52,7,109,56,18,0,121
5125549558dd8d59df4ed2e990fb6cd3334fb5ca,5531,129,53,18,1,84,2827,93,37,17,0,79,182,86,6,0,0,42,330,165,49,23,0,58,4,154,55,25,0,164
6ac486614ab877d6971dec2b43157039bf7978f6,5604,115,38,12,0,95,2923,113,36,13,0,80,138,71,6,0,0,36,285,121,50,26,0,52,6,145,36,19,0,79
dd82aff217f12ef66fdce3b18b963becc0734435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9145b3c51440fc3594cfd22e1b9aeb7221b552c1,5469,114,38,18,1,90,0,0,0,0,0,0,0,0,0,0,0,0,308,88,50,9,0,61,5,84,39,19,0,111
a93ea4925ebf06f67e1efc7a19cf21bd5d94bd65,5566,160,46,7,0,111,2833,103,65,24,0,98,152,85,8,0,0,38,394,124,40,15,0,64,3,79,48,19,0,96
9b696806c08e6fc9deef5aeb8bedc03c51606561,5621,136,50,10,1,109,2834,127,45,13,0,82,205,72,7,2,0,53,248,87,40,19,1,49,6,196,66,14,2,118
b02dd3e1468a48f4763902002b5a390d47b606fa,5784,134,65,21,0,101,2848,100,38,15,0,75,151,112,9,0,0,45,299,149,52,24,0,56,13,160,77,33,0,94
8fa6c285eaf39a69ac368e3e1c2778ac2c33fa5b,5569,116,44,14,0,100,2740,85,37,20,0,86,144,79,6,1,0,36,278,135,82,37,0,55,4,130,56,22,0,146
21d0c13d749e34793dde913345daf23e6a08be00,5702,143,53,18,0,116,2900,117,59,23,0,96,147,66,8,0,0,50,225,88,44,23,0,53,8,194,89,16,0,163
ad86bb6b5138a03dbbd64517f4a283aa01fd9593,5520,109,55,8,0,112,2958,96,42,18,0,116,175,106,6,1,0,59,312,175,49,22,0,59,9,103,43,17,0,111
3d61b585c6dc8cfd465e2d0ef0b7a0e7fba950b1,5485,154,72,11,0,82,3102,156,87,38,0,76,152,85,10,0,0,41,232,183,55,27,0,88,9,105,51,17,0,130
9ea7b79a55e4c9d31ca061858aeca3d22a605ed5,5643,117,45,15,0,111,2836,100,45,11,0,73,379,69,7,0,0,49,305,140,37,19,0,58,4,150,58,16,0,116
239ac22ec54e6585b2a92f554e255cb16baecf5b,5444,116,40,11,0,78,2955,132,71,18,0,74,269,125,8,2,0,49,262,134,51,9,0,84,8,155,51,30,0,92
956922200886b753c57587d59900ce4e740ae775,5595,123,51,9,0,114,3043,113,53,15,0,72,304,74,7,0,0,51,236,107,67,20,1,62,1,92,61,15,0,131
