sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
b18e01a9920fdbcb4fbf1725c0908851a0a3e7fc,6676,176,36,16,0,204,6627,197,28,14,0,211,6556,171,31,15,0,189,6855,194,36,17,0,171,5,160,56,12,0,119
e40032eda81cc22dc4f63b18044c7515b849960d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03d5a5c6f4d9a1b7ee18b4efe9797492fd55949e,6512,188,38,15,0,163,4888,178,45,11,1,107,193,144,7,3,0,58,215,167,57,17,0,78,4,149,50,24,0,68
2234330f7e9f24b4efd2beba6ce2743114497bc7,6567,150,44,15,0,142,4637,185,27,5,0,139,192,121,8,1,0,55,253,149,51,9,0,85,7,274,70,35,0,95
c7d7332a53ea0620118dec480ff6dc77be988640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181cadbba3efe8573a2263a7d6cd60c140077491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c0f946c2a3da7014c3ac6926bb19d73d0158041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf2b195189bf2f47cf7a777e77e74b8f53bced43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c894b5366ccfaed194e158d3cd13f8635b00e085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b72db7f24f1c530a837734094fd01d2b8f679a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215eb26362e48c6839593fb8a723763178731bb9,6527,179,41,11,0,159,4571,185,32,8,0,145,227,153,6,0,0,61,318,129,40,14,0,77,6,188,48,17,0,65
ec43692567bf4dc297cefc79ea903e403afa0e31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b233dbb777fb03bfcaf3677001f5fda27288c5f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e36a361b38614ab202a5c4d7490750e1bb1d65a,2757,80,13,2,0,75,2135,70,20,2,0,95,109,160,28,3,0,63,129,81,11,2,0,61,3,64,21,3,0,105
a879c181168edb010a1075d507072ab068da3b98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818e789b26bc27956cfbf48766d2eb421d9d897c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74c78652dfefbc2596c925827c1015e51a51e003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdc5223611c99b8d326b928084d62b42df466f68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c5c2aa9de3e6fa15955def6b810927aa945f22d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6061a354c80e5fd4cf7293c67f5b0841f7d901b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50c366800c72590b79fe175829954ae5f27a97d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542c228b74a846ad33a20a7271266b6794f23fd1,6647,184,44,24,0,164,5379,172,30,16,0,131,389,130,6,1,0,101,324,182,40,15,0,84,3,175,47,12,0,77
e59bc83ad94917ac576ebb3e47f942306a13798b,6667,202,36,9,0,166,5355,167,33,10,0,141,353,175,7,0,0,107,231,127,49,11,0,133,6,136,36,10,0,53
3b71b2e4c00c53256c6d0dde9c1a22aa0e0fb8c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e72385684c4fa6fed9afbdf3a2ac4b0e8b4fc7dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51e5a4f209ba9e3381d00d46a2b03d2b73343b2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d2e9b617b2e604cbce5822a4718a9571bc1fa42,6519,196,53,13,0,197,5478,152,38,12,0,137,249,107,9,1,0,81,308,211,71,23,0,83,6,145,53,17,0,89
7a2a6f389f602f8235f3ead022f2018f440dfe98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cf1ec3996b9958ad803420e57ec2871f4fdc422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f52a0581929c88a570ccdb8d03cb5521ac8fb102,2660,72,19,0,0,79,2377,100,16,2,0,83,89,76,6,1,0,35,177,108,15,5,0,61,2,61,13,5,0,101
4ba8d44a5087e28f620a454065b0bbeca9072d85,6609,172,38,16,0,180,5374,185,34,15,0,138,253,119,7,0,0,73,264,198,51,9,0,86,3,138,53,10,0,124
76216853b384cb6b603e2b134948256861048d0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715b07289d7b0d6d900a6de65f18634617968234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe0fbc319ced29ac619548f4aa9c4390776914bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479f6e2f3d73fc3511b0f95e6ea1f8100d3ee4e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9fa9274a1f38b60cf5b967125614eccbf8cc7d3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c08278d113343cf3981a1d0cc4ad89cd79aa020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
048709f76479b6c091341f083160401a1752db4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eeca3fadc8ae9bd4a643c14ef26c234646ddc1f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
af9af6febcdbf6f4aa253791557c8690ae057597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8bcc13d5882873038fcfc8f1b493bb732926971b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
