sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
18260e1ccbdb5fbf03fe752940193ffc7184f8b8,2402,40,40,11,0,169,2410,46,52,13,1,159,2405,54,45,13,0,128,2423,70,64,6,0,143,10,81,96,41,0,183
d5bd3a2f66a9d92e5b222303e2247b5c7f5966ca,2245,39,46,8,1,124,1444,35,32,8,1,104,224,61,32,1,0,78,217,75,42,6,1,86,10,33,66,22,4,106
11da199bb71f0496c2c00ea637bab089bc846603,783,8,9,0,0,37,623,10,13,1,0,23,85,4,5,1,0,17,104,7,6,1,0,14,0,5,7,2,0,15
620dd34a6b7bff998c56798adcae0c53903b552f,836,12,11,1,0,27,565,6,9,0,0,32,101,9,7,1,0,32,78,10,9,0,0,16,0,6,9,0,0,15
fc66bc6ecc3486418f63bbe35654a647b6039277,2343,48,36,3,0,117,1632,49,45,8,1,134,118,43,11,0,0,71,150,41,41,5,1,99,9,63,62,23,1,113
69b6f7f5b7b7a1597283322ee0c079cd51cbc196,2366,50,45,8,0,132,1607,43,37,7,0,104,122,35,11,0,0,92,166,60,60,7,0,107,12,63,91,23,1,106
abee8a0459dbf7651cf8c0ef9fb5018e85c387aa,2469,60,48,9,0,123,1618,44,32,6,0,107,139,47,13,0,0,87,180,46,44,12,2,90,9,33,66,21,1,119
a9605415da2153729f375cefa155230d402ab29a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aca383f00275e55a479d68c9ac72e3eebf9dae3b,2353,32,57,4,0,117,0,0,0,0,0,0,0,0,0,0,0,0,137,39,59,7,1,103,7,50,62,27,4,149
7b5d0c91522cb9e5ec0bb01baa4ffafd3ea6affb,882,16,11,1,0,31,636,7,10,0,0,23,70,17,6,0,0,18,68,7,8,0,0,14,0,9,7,3,0,18
9430f0c7b202e3b8c0db075eea217a67a49771d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b334963a55a911b63ef46c7be8e8cd0490417982,943,11,10,0,0,41,525,21,8,1,0,26,0,0,0,0,0,0,115,4,6,0,0,15,1,8,6,0,0,16
98f43f71bff9df873f41629810016f9d20b90e38,2589,54,48,5,0,131,1718,70,33,8,0,121,114,38,11,0,0,65,156,68,48,8,0,103,4,51,70,32,0,118
ed9c27b4231e747213c60581f2dd2864dae5496f,2440,53,58,7,0,135,1617,46,38,6,0,106,160,74,17,2,0,92,139,54,59,4,0,100,9,63,79,40,1,150
bc24abd8079234533f1f4bd5d6c7c8af50448ca8,2563,47,40,5,0,150,1493,48,44,7,0,128,123,44,12,0,0,82,205,48,45,16,0,112,10,38,64,26,3,125
757ed8182ced049e266a82c85cdf317db428c83c,2364,56,44,6,0,109,1904,51,73,15,0,168,123,31,11,1,0,73,183,43,41,8,0,124,6,64,103,25,1,154
588643a53afb09e8253888848945542f81f424c1,2313,45,37,8,0,117,1629,38,35,13,0,117,145,30,21,0,0,82,189,97,43,5,0,100,6,52,68,25,2,125
7f8e5e5833b87a3c0a190fa0ecc045e1c90fbed0,2539,60,41,5,1,139,1814,46,44,8,0,116,238,39,11,1,0,146,257,44,46,8,0,84,7,79,74,36,2,141
a968c4881c091fbbb407d74eca3a2d20af87b4eb,2443,63,39,7,0,120,1793,43,47,8,0,132,214,37,24,0,0,90,141,45,40,13,0,90,4,67,70,27,2,169
ccc13be1d8971ad63b0d47293ea9241962f7e0e1,2381,49,46,9,1,158,1825,50,47,3,0,130,213,37,10,2,0,87,171,71,46,7,0,102,5,68,70,33,1,116
f548e1d946e3e65585051a63af546b1d5b93a441,2356,46,39,12,0,115,1700,53,39,8,0,111,181,44,18,0,0,139,181,61,65,12,3,111,5,47,64,19,1,145
43404b142f799ce1c503daea97da0538d7160798,748,4,11,0,0,22,115,6,3,2,0,18,55,4,5,0,0,15,83,7,6,2,0,15,0,4,7,2,0,20
60df018d04cb8c721b89afc8810d6cec4785e372,813,8,7,0,0,34,566,12,9,0,0,21,46,3,4,2,0,10,62,4,6,1,0,14,0,7,5,2,0,11
98e7c5dbe4d84191a597f7c893178ec0b225f43b,925,11,8,0,0,29,549,13,4,0,0,30,87,20,11,2,0,20,56,6,8,1,0,12,3,5,8,0,0,13
8a64213bbd8be24d248c2594317ce81915df42ed,2364,49,48,15,0,137,1652,43,42,5,0,91,197,33,14,1,0,90,202,78,65,9,0,122,12,56,88,21,3,122
5cd9ca272355892b0d4cd29eea92dc46cf5b0bfa,2397,43,48,7,0,119,1749,65,38,4,0,90,249,52,14,1,0,88,211,93,75,9,0,111,11,71,90,41,3,152
6b50e6767cd00834d30cfaed35a177111bd985ae,2476,38,48,8,1,121,1838,52,42,8,0,117,180,64,30,0,0,95,188,75,66,11,0,164,12,33,73,25,0,148
274383e0804cf329efcc6e20363e4ebf40e6f889,2622,44,35,7,0,155,2843,46,57,10,0,161,2603,56,39,7,0,118,171,79,53,4,0,103,3,38,66,29,3,129
9bc3611ced184c47c62bf6a536dacf6c9ac76056,891,15,9,0,0,33,706,12,22,0,0,35,111,14,13,0,0,23,108,7,10,0,0,12,0,7,9,1,1,17
b212358d39dfc3f27329ca75ae51492a0a90a7e1,2577,59,62,11,0,142,1776,46,48,4,0,127,218,42,13,0,0,99,187,44,43,7,0,86,4,35,66,22,0,109
c87191dfc90098c5c8b8bfe4488c97cf236cae46,790,11,10,0,0,30,627,9,10,1,0,34,106,10,16,1,0,29,93,8,8,0,0,13,1,6,9,1,0,13
8b37d7266d103ba926eaf8bba3091813ff6366de,2613,43,51,9,0,141,1659,45,52,4,0,116,194,36,10,1,0,106,141,40,46,6,1,91,6,48,65,22,4,135
ad072dd5218e37ab8e3f130a638e17d313d3a38a,840,12,9,1,0,24,694,10,10,1,0,36,104,12,7,1,0,28,134,22,15,1,0,17,1,9,6,0,0,15
325331efce79867d993288734baca73835365b56,792,8,10,0,0,34,616,8,8,1,0,33,109,4,4,0,0,18,120,4,11,0,0,14,0,5,9,1,0,20
8feb6c9548c9913dfec8237110125bf1c253741d,2052,32,20,1,1,112,1435,27,15,2,1,84,85,19,5,0,0,43,89,32,23,1,0,63,0,26,19,6,0,43
1ff6ad702bf4e534be62f13d662d8b1683e770fd,2525,66,45,5,1,130,1751,41,33,8,0,122,166,35,16,0,0,82,170,101,39,6,0,93,9,103,90,26,2,156
12dd5c6cc1cf9db67f2ee77f6f3fec05cd1d97d4,13427,187,101,14,1,236,12946,179,71,27,0,283,12695,157,77,24,2,261,8851,163,81,23,0,230,5,115,71,18,2,131
c06ee44be2b29ecac2195d6847862d907c4049d8,13013,169,93,18,0,296,7806,159,87,25,1,199,274,162,29,1,0,109,326,276,94,32,1,199,4,98,71,16,2,134
7e81fea8f53bab9a536898c9adb28c20fe936496,4590,84,20,3,1,88,2714,98,31,1,0,67,120,78,8,0,0,18,147,79,18,4,1,25,1,36,11,0,0,18
faece266ff48a79f85f7d44c4c9f75676539a409,4519,70,17,3,0,71,2320,79,16,3,0,50,40,40,5,4,0,16,108,54,19,5,0,25,2,37,6,4,0,13
714dc81b60a2fd724787340f453d60b990330a73,4390,75,31,1,0,65,2398,64,17,8,0,47,36,37,6,7,0,15,146,73,18,10,0,31,1,39,5,3,0,10
9959af6aa780317f0e8ad81ad7e51f732feea6eb,4318,73,22,2,0,72,2822,93,34,3,0,59,125,43,12,0,0,19,165,83,24,10,0,34,1,38,5,1,0,20
607dd4d3094a96bedc1e3c1a55d814e3135525d0,12894,192,73,16,2,245,7714,166,80,23,1,271,224,110,19,1,0,128,226,263,91,31,2,159,4,154,91,24,2,161
dde6ba63a4e6e8995085da68b74261fc0740630d,13047,182,79,15,1,284,7703,175,73,26,2,222,250,114,19,1,0,131,244,140,68,27,0,165,1,118,71,13,5,148
bde26035f5d662ab1754100be3638fd88fd2e0dd,4380,99,27,4,1,64,2582,80,21,2,0,52,132,40,15,1,0,24,151,120,25,7,0,29,0,41,7,1,0,12
7f1c5e9a4fff0360eeba895e3d4fca4cde45541b,12702,177,100,17,0,269,7535,172,107,28,2,251,340,119,31,0,0,120,329,217,105,32,2,212,3,116,74,18,3,126
