sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
9b15b2008bd9dc654127629d40009899a4104e67,6327,472,201,99,1,230,6418,413,185,59,0,222,6367,456,178,64,1,217,6517,475,200,81,0,256,10,322,224,59,1,187
a345812f8fe6e80b8626b44eeb9f960842737bb6,6137,431,182,59,0,194,3409,379,178,73,0,105,301,306,11,1,0,56,562,376,213,94,0,131,5,315,73,31,4,59
bae558d829400e0fee781cf60de295841afcf68b,3871,11,20,4,0,132,2127,16,31,6,0,124,35,12,6,2,0,44,137,13,23,16,0,129,0,11,7,3,0,43
989cea121f33b6a4e35d99a0fdd3f8d599abff0c,5820,364,121,36,0,95,3505,438,95,41,0,85,76,250,7,0,0,25,338,304,93,43,1,50,0,248,85,31,2,33
9f8fe5b1bfed58169a01c6f2d8648f77b8743b89,6300,451,183,60,0,184,3623,395,197,45,0,164,282,301,6,1,0,67,548,321,179,51,0,139,4,302,69,24,0,60
3c2e5880e592b327c179c59efb269bbfbfe2d52f,6025,413,98,27,0,95,3602,418,133,55,1,90,88,297,7,1,0,38,488,408,140,57,0,67,5,315,62,38,0,58
6756fd62dd70a8eaa6f53527a96a87f3ec54c765,6154,438,113,43,1,92,3515,400,114,32,0,65,108,286,9,0,0,39,314,400,120,51,1,65,6,315,83,40,1,48
eafa46e2f5e53791f6dbaa1acab007b2394909aa,5638,349,78,27,2,123,3303,337,86,19,0,125,149,311,5,1,0,96,119,297,87,34,0,135,4,240,71,20,0,82
15cc3d301ac848eddc1dfbb6df9745d61c2f76f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0be34d87125f0e5a14feb6dd27cd1d9ecca0ad51,3860,3,31,7,0,139,0,0,0,0,0,0,0,0,0,0,0,0,156,1,30,5,0,104,0,2,6,2,0,48
c76b75f68c5f90e8d82198130877042d4ff388e3,6018,487,158,60,1,108,3435,379,124,55,0,101,193,268,7,1,0,47,290,323,116,35,0,63,4,311,60,29,1,44
1c33a71c86d499bbc0381552763c759ef22134c8,6391,414,192,72,0,207,3649,415,197,60,0,112,332,287,11,1,0,87,812,408,257,88,0,128,7,305,67,31,1,60
63b64ba9d1a7d0e0a5fcbd3259335e364a84d441,6416,418,181,63,0,217,6531,421,171,83,0,161,6339,446,184,63,1,196,1545,371,194,63,0,165,13,374,210,87,0,111
8dc4eec3bc4dd7fe3eb698c5cae8e204317d3e67,6188,451,124,69,1,73,3300,352,112,34,0,70,169,261,7,1,0,31,287,282,150,45,1,52,6,350,123,39,0,97
c78e510a6d557740eb1c692bf385dbc71bf6dd09,6162,398,113,49,0,95,3318,327,105,42,0,75,131,241,6,0,0,35,295,350,130,68,0,73,12,328,128,58,1,81
9c0b8ad67142f44e7dcc84583c8182e20351d992,6319,410,175,54,0,238,6383,435,184,61,3,216,6425,438,174,71,0,228,1637,344,230,64,0,147,16,325,190,74,0,122
b68a9cf2a9662d8243498a0c8131fbad5102014b,266,0,0,1,0,19,9,0,0,2,0,12,9,0,0,2,0,11,65,0,0,1,0,12,0,0,0,2,0,13
3389583fd6c1960c48f3e384067617659a255bed,5845,315,85,32,0,145,3457,306,76,33,0,166,79,286,2,2,0,83,142,264,77,48,0,125,5,267,71,28,1,87
0faec47ffceada0c9909fb28e794366f752d5fe5,259,0,0,0,0,25,9,0,0,1,0,12,8,0,0,1,0,16,55,0,0,0,0,16,0,0,0,3,0,13
