sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
2d7b0d1949403a5cce39c893da5f047fb596070b,6089,216,55,14,0,167,5971,202,56,15,1,155,6058,167,52,16,0,177,6289,193,54,14,1,199,15,234,81,38,1,154
845f651300dbcdbfae00ec75db0c9a94244b6e93,6223,197,55,12,1,222,3610,164,48,15,1,144,416,187,17,0,0,99,214,187,52,20,1,118,15,149,112,60,3,113
81075d7fb1fa1102e53b0f159004e81f30567b1e,2556,105,34,7,0,63,1725,115,22,10,1,42,156,49,6,1,0,28,169,122,42,17,0,34,2,70,15,4,0,18
ba631b9d4a542885303aa7bd5952ad38b3d7e990,6404,201,64,9,1,202,3917,196,56,12,0,197,504,262,18,0,0,150,268,191,51,23,0,132,12,189,62,28,1,128
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,2838,86,20,1,0,53,2080,97,11,1,0,67,122,147,8,1,0,28,129,97,10,2,0,23,5,158,18,5,0,26
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,5738,172,32,15,0,217,3474,189,41,18,0,134,296,139,8,0,0,98,326,196,71,11,0,135,9,170,65,29,2,176
010c87d9170f3e86a001a6351699aef1ae168fcf,5703,158,56,15,1,161,3551,157,49,3,0,126,352,197,28,0,0,95,171,258,60,8,1,118,13,164,70,31,3,109
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,5744,196,38,11,0,195,3646,158,49,10,0,146,285,125,11,0,0,77,181,149,57,15,2,99,6,127,64,23,1,88
a79e8443ab85d01fc71154ae7d2296f65ad89d20,5614,195,56,15,1,159,3595,183,48,23,0,169,285,112,16,0,0,101,173,202,48,14,0,118,10,258,96,32,2,157
448718f23015abb49120fd77f4931c5b6266f2b0,5789,203,55,18,1,182,3684,189,55,25,0,194,248,162,15,0,0,109,242,181,59,11,0,126,13,172,81,22,2,92
4c306c847ebc63d8642f62d0de4f56ff6250afb5,5914,181,52,9,1,169,3795,188,42,10,0,143,421,142,13,0,0,92,185,226,56,14,0,103,13,240,78,36,3,186
4372e81347f5593c3dae8fc7b122c5d45c3057ef,6288,232,41,10,0,175,3687,172,49,12,0,148,489,233,15,3,0,107,297,196,67,14,0,120,13,154,86,32,3,115
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,6243,205,38,24,0,175,3916,207,40,16,0,191,408,160,12,1,0,93,771,199,53,12,0,131,15,226,87,20,0,144
77f7422ee589c192669dd962ff51be5143222177,2981,95,13,0,1,88,1825,94,10,2,0,67,154,64,6,1,0,42,86,75,6,0,0,24,5,134,32,5,0,24
f0c656067eafac31d99f38724bf422442848f4e4,6262,199,41,11,1,164,3878,221,44,9,0,159,497,162,13,0,0,97,254,239,77,21,1,120,17,237,103,39,4,179
a557ff1d4d283e8d5aca1be48f94cae919387b68,6308,191,49,8,0,181,3764,184,74,19,0,167,365,149,13,0,0,134,206,226,76,20,1,136,8,214,88,37,1,204
b70c659f88b83374092a4045f34318f5dd929423,6289,195,52,14,1,209,4097,232,70,24,0,184,352,113,14,0,0,107,197,209,54,22,0,130,12,260,99,28,3,161
2599ebe7d0008d8f342204e32f2ee05ea5b90fe4,2988,134,9,3,0,65,1917,87,13,1,0,61,120,71,5,0,0,29,144,164,14,4,0,30,2,127,16,7,0,28
c92a666d9f981cae52575957109dac5eb3e253b7,2840,96,16,1,0,63,1901,112,17,0,0,79,96,58,6,0,0,24,96,71,11,1,0,26,1,106,8,2,0,41
5882ac1c31f0a6d4a06767bafb5c46f674efedd7,2873,133,7,3,0,54,2062,92,14,1,0,83,86,80,6,0,0,24,129,129,12,6,0,31,2,124,12,2,1,22
e3a783d2d9f5c3d63d81647e0dcfb88ba610f3f9,6506,199,52,11,0,177,3839,211,74,22,1,158,325,126,14,0,0,80,206,178,59,10,4,133,2,147,64,15,0,129
d91858ca9e210f4cbe64f14e26af54aa03bfa389,6098,190,58,27,0,170,3658,237,67,7,0,167,406,152,12,1,0,110,129,157,67,17,1,102,15,202,83,39,3,176
83947c19ed11be929cd4349c6747df4c9e970b81,6067,198,42,11,1,185,3714,160,83,22,0,175,413,198,15,3,0,99,276,256,60,11,0,107,9,187,92,31,5,150
abd274913677669318771323b501609c506d52fd,2767,139,10,1,0,64,1830,95,18,1,0,44,45,59,5,1,0,18,134,114,29,1,0,26,6,86,15,2,0,29
568df5e6db9766c6f9a6dcd490984a55e6f0097e,2988,104,16,2,0,66,1757,102,14,2,0,47,41,56,5,1,0,20,106,63,10,2,0,23,3,77,14,2,0,17
