project,mop,ps1c,ps3cl,online,jarThreads,incrementalJar,incrementalJarThreads,cleanBytecode,cleanBytecodeThreads,storeHashes,storeHashesThreads,staticCIA,staticCIAThreads,dynamicCIA,dynamicCIAThreads,mopCache,mopCacheShared
actiontech-dble,17,16,15,2,8,3,6,5,7,4,9,10,12,13,14,1,11
alfasoftware-soapstone,17,16,15,13,5,12,11,10,9,7,8,2,1,6,4,3,14
apache-commons-io,16,10,1,8,9,7,11,2,5,12,6,3,4,13,14,15,17
apache-commons-lang,17,14,12,9,8,7,10,5,1,2,4,3,6,16,15,11,13
apache-sling-org-apache-sling-feature,17,16,14,13,6,12,5,11,3,10,4,1,2,9,8,7,15
asciidoctor-asciidoclet,16,14,13,15,6,12,5,9,3,10,2,8,1,7,4,-1,11
braintree-braintree_java,17,16,14,11,4,13,12,9,10,7,8,3,2,6,5,1,15
ChannelApe-shopify-sdk,17,16,14,8,4,6,10,11,3,2,9,7,5,13,12,1,15
contentful-contentful.java,17,16,14,12,2,9,10,6,7,5,8,3,1,13,11,4,15
datastax-native-protocol,17,16,12,14,3,11,8,13,6,9,7,2,1,10,5,4,15
davidmoten-rxjava2-file,17,16,14,12,7,8,5,4,3,6,2,9,1,11,10,13,15
davidmoten-rxjava-slf4j,16,8,7,17,6,14,13,11,10,12,9,3,2,5,4,1,15
devcon5io-mutation-analysis-plugin,16,15,11,13,6,12,5,9,3,8,4,2,1,10,7,-1,14
fsantiag-sonar-clojure,17,15,12,6,3,1,7,4,5,2,8,9,10,13,14,11,16
gabrie-allaigre-sonar-gitlab-plugin,17,16,15,11,7,8,10,3,5,2,4,9,6,12,13,1,14
googleapis-java-pubsub-group-kafka-connector,14,10,8,17,16,15,11,12,7,13,9,4,5,2,1,3,6
GoogleCloudPlatform-kafka-pubsub-emulator,17,16,13,11,5,8,9,6,4,7,3,2,1,14,12,10,15
google-compile-testing,17,15,14,13,11,12,10,9,5,8,6,3,2,7,4,1,16
imglib-imglib2,15,12,11,2,6,1,8,3,5,4,7,9,10,13,14,-1,16
jdbc-observations-datasource-proxy,16,15,13,8,1,6,10,5,9,2,7,4,3,12,11,-1,14
jmxtrans-embedded-jmxtrans,17,16,7,14,3,9,13,8,10,11,12,6,2,5,4,1,15
JodaOrg-joda-time,16,15,13,10,8,11,9,7,2,5,6,3,4,14,12,1,17
jscep-jscep,17,16,10,12,8,11,9,6,4,5,3,2,1,14,15,7,13
jsunsoftware-http-request,17,16,14,12,9,8,6,4,2,5,1,7,3,13,11,10,15
Mastercard-client-encryption-java,16,15,13,10,8,9,4,6,1,7,2,5,3,12,11,-1,14
mdewilde-opml-parser,14,10,8,17,3,16,9,15,6,13,7,11,2,4,1,5,12
meltmedia-jgroups-aws,16,6,5,14,7,12,10,13,8,11,9,4,3,2,1,-1,15
microfocus-idol-java-configuration-impl,16,15,14,13,9,12,7,10,6,11,5,3,1,8,2,4,17
mitre-HTTP-Proxy-Servlet,16,14,11,10,5,9,8,7,4,6,3,2,1,13,12,-1,15
Pablissimo-SonarTsPlugin,17,16,11,6,5,9,4,7,8,3,10,1,2,13,12,14,15
pagehelper-Mybatis-PageHelper,17,16,14,11,6,10,4,8,2,7,3,9,5,13,12,1,15
qoomon-banking-swift-messages-java,17,15,13,16,8,14,6,9,3,10,4,7,2,5,1,11,12
sailthru-sailthru-java-client,17,16,12,8,7,9,10,3,6,1,5,2,4,13,14,11,15
sblendorio-petscii-bbs,17,16,12,6,7,8,9,4,5,3,2,10,11,13,14,1,15
sigopt-sigopt-java,17,16,14,11,3,12,9,8,10,7,13,2,1,6,5,4,15
smartystreets-smartystreets-java-sdk,17,16,15,14,11,12,7,3,2,4,1,6,5,10,8,9,13
soot-oss-heros,16,13,7,15,5,14,12,11,8,10,9,3,2,4,1,6,17
square-javapoet,16,15,13,8,4,7,5,3,2,1,6,10,9,11,12,-1,14
studerw-td-ameritrade-client,17,16,14,13,4,12,9,10,7,11,8,3,1,6,5,2,15
timmolter-Yank,15,7,6,17,8,14,11,13,9,12,10,2,1,5,3,4,16
TNG-property-loader,17,8,6,15,7,13,14,9,12,11,10,1,2,5,4,3,16
valfirst-jbehave-junit-runner,17,16,14,13,5,10,6,8,4,7,3,2,1,11,9,12,15
vaulttec-sonar-auth-oidc,17,16,14,13,5,12,3,9,2,11,1,10,4,7,6,8,15
venushka-jmxeval,16,15,13,12,3,9,11,10,7,6,8,2,1,5,4,-1,14
visenze-visearch-sdk-java,17,16,12,2,5,4,1,3,6,9,8,11,10,14,13,7,15
walmartlabs-gozer,17,16,12,14,4,13,9,10,8,11,7,2,1,6,5,3,15
weswilliams-GivWenZen,15,14,6,11,5,8,13,10,9,12,7,4,2,3,1,-1,16
whizzosoftware-WZWave,17,15,7,14,4,11,10,8,13,12,9,2,1,6,5,3,16
