mop,ps1c,ps3cl,online,jarThreads,incrementalJar,incrementalJarThreads,cleanBytecode,cleanBytecodeThreads,storeHashes,storeHashesThreads,staticCIA,staticCIAThreads,dynamicCIA,dynamicCIAThreads,mopCache,mopCacheShared
0,0,1,0,1,2,1,0,2,2,3,3,17,0,6,10,0
0,0,0,3,1,0,0,1,6,5,4,13,11,2,1,1,0
0,0,0,0,6,1,1,6,6,2,5,10,4,1,1,5,0
0,0,0,0,6,1,3,4,4,3,5,4,4,2,7,5,0
0,0,1,0,9,0,5,3,6,4,2,1,4,6,6,1,0
0,1,3,3,6,2,4,4,5,3,4,2,2,6,1,1,1
0,1,4,0,6,3,3,3,5,7,6,3,0,3,1,3,0
0,2,2,5,7,6,3,5,4,2,7,1,0,1,2,1,0
0,0,0,1,3,7,8,7,4,2,7,5,1,1,1,1,0
0,3,1,3,0,2,9,6,4,4,3,4,3,3,1,2,0
0,0,4,6,2,4,5,4,0,7,0,2,1,3,4,4,2
0,1,7,5,0,11,2,1,1,5,1,0,1,3,7,1,2
0,1,8,8,0,3,3,3,1,2,1,0,0,12,2,1,3
2,4,13,6,0,4,1,0,0,0,0,0,0,4,6,1,7
3,11,4,3,0,1,0,1,0,0,0,0,0,0,2,1,22
13,24,0,1,1,1,0,0,0,0,0,0,0,1,0,0,7
30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
