project,mop,ps1c,ps3cl,specific,agnostic,ps1c/mop,ps3cl/mop,specific/mop,agnostic/mop,mop+starts,ps1c+starts,ps3cl+starts,specific+starts,agnostic+starts,mop+starts/mop,ps1c+starts/mop,ps3cl+starts/mop,specific+starts/mop,agnostic+starts/mop,mop+xts,ps1c+xts,ps3cl+xts,specific+xts,agnostic+xts,mop+xts/mop,ps1c+xts/mop,ps3cl+xts/mop,specific+xts/mop,agnostic+xts/mop
asciidoctor-asciidoclet,1166341,784096,537643,1128125,338340,0.67226,0.46096,0.96723,0.29008,1002222,728794,549736,988561,358270,0.85928,0.62485,0.47133,0.84757,0.30717,998162,851071,654796,978980,383589,0.8558,0.72969,0.56141,0.83936,0.32888
contentful-contentful.java,2302758,1739287,1036138,806374,825915,0.7553,0.44995,0.35017,0.35866,2155201,1716277,1061570,831161,861282,0.93592,0.74531,0.46099,0.36094,0.37402,2275952,1834783,1171089,883357,912651,0.98835,0.79677,0.50855,0.3836,0.39632
jdbc-observations-datasource-proxy,2400667,1456839,594774,2361612,524457,0.60684,0.24775,0.98373,0.21846,1845742,1339016,596757,1828724,464061,0.76884,0.55776,0.24857,0.76175,0.1933,1707218,1310444,621463,1714809,494440,0.71114,0.54586,0.25887,0.7143,0.20595
Pablissimo-SonarTsPlugin,265972,169427,48540,50253,32946,0.63701,0.1825,0.18894,0.12387,223301,142353,48900,49228,39141,0.83956,0.53521,0.18385,0.18508,0.14716,183681,144343,70990,41726,37756,0.6906,0.54269,0.2669,0.15688,0.14195
pagehelper-Mybatis-PageHelper,2230910,1790290,733288,444312,554897,0.80249,0.32869,0.19916,0.24873,2073946,1709903,713056,449547,563308,0.92964,0.76645,0.31962,0.2015,0.2525,2047828,1748745,736297,455079,546613,0.91793,0.78387,0.33004,0.20398,0.24501
sailthru-sailthru-java-client,616113,363526,91464,81618,75638,0.59003,0.14845,0.13247,0.12276,595749,357868,105887,87224,96234,0.96694,0.58084,0.17186,0.14157,0.15619,386973,278254,129292,82596,80680,0.62808,0.45162,0.20985,0.13405,0.13095
sigopt-sigopt-java,1459828,1036780,342367,228267,203403,0.7102,0.23452,0.15636,0.13933,1127044,873170,368399,229684,214571,0.77203,0.59813,0.25235,0.15733,0.14698,1100264,865877,389135,245851,221442,0.75369,0.59313,0.26656,0.16841,0.15169
valfirst-jbehave-junit-runner,646959,387900,149364,155086,118298,0.59957,0.23087,0.23971,0.18285,493112,358984,156034,117995,109723,0.76219,0.55487,0.24118,0.18238,0.16959,510082,392036,177985,151220,120105,0.78843,0.60596,0.27511,0.23373,0.18564
visenze-visearch-sdk-java,1685936,1162668,295664,221988,237275,0.68962,0.17537,0.13167,0.14073,1462576,1051629,324470,239499,262673,0.86751,0.62376,0.19245,0.14205,0.1558,1340063,995522,319609,257310,268483,0.79484,0.59048,0.18957,0.15262,0.15924
jsunsoftware-http-request,1665987,1392780,760738,434443,551957,0.836,0.45662,0.26077,0.3313,1631812,1359424,786592,458309,577651,0.97948,0.81598,0.47214,0.27509,0.34673,1754632,1584918,947900,552571,639315,1.0532,0.95133,0.56897,0.33167,0.38374
