project,id,branch,line,num_of_commits,first_commit_timestamp,sloc,num_of_tests,stars,test_time
actiontech/dble,actiontech-dble,0.080808278,0.070677802,4123,1479281795,208300,282,1074,21.438
alfasoftware/soapstone,alfasoftware-soapstone,0.791139241,0.850047755,145,1550243430,3808,89,10,5.191
apache/sling-org-apache-sling-feature,apache-sling-org-apache-sling-feature,0.434511435,0.530692659,398,1509718010,8864,165,11,3.579
asciidoctor/asciidoclet,asciidoctor-asciidoclet,0.707964602,0.828205128,150,1368418830,1369,44,123,4.399
braintree/braintree_java,braintree-braintree_java,0.371601208,0.443881857,2001,1266961932,50099,288,154,3.073
ChannelApe/shopify-sdk,ChannelApe-shopify-sdk,0.598445596,0.803928096,240,1541429611,13998,162,147,12.473
contentful/contentful.java,contentful-contentful.java,0.835535977,0.877618523,772,1406290274,7369,233,73,5.47
davidmoten/rxjava2-file,davidmoten-rxjava2-file,0.456521739,0.423631124,336,1399697182,781,3,24,3.284
davidmoten/rxjava-slf4j,davidmoten-rxjava-slf4j,0.557971014,0.790196078,264,1402274921,1195,41,13,4.707
devcon5io/mutation-analysis-plugin,devcon5io-mutation-analysis-plugin,0.992982456,0.992409867,199,1530508609,6955,277,27,7.791
fsantiag/sonar-clojure,fsantiag-sonar-clojure,0.722222222,0.952887538,132,1523725362,2710,61,57,1.75
gabrie-allaigre/sonar-gitlab-plugin,gabrie-allaigre-sonar-gitlab-plugin,0.846041056,0.961770624,290,1446990594,7788,243,708,14.747
googleapis/java-pubsub-group-kafka-connector,googleapis-java-pubsub-group-kafka-connector,0.721712538,0.67183227,169,1651515927,5662,78,37,4.45
GoogleCloudPlatform/kafka-pubsub-emulator,GoogleCloudPlatform-kafka-pubsub-emulator,0.630963973,0.608941418,764,1258439861,18521,75,58,27.23
jdbc-observations/datasource-proxy,jdbc-observations-datasource-proxy,0.85,0.948620362,293,1550762046,5945,521,646,5.368
Mastercard/client-encryption-java,Mastercard-client-encryption-java,0.890243902,0.924556213,199,1416144398,3123,553,94,5.048
mdewilde/opml-parser,mdewilde-opml-parser,0.642533937,0.630985915,681,1402361789,8515,61,16,2.192
Pablissimo/SonarTsPlugin,Pablissimo-SonarTsPlugin,0.660091047,0.840692124,306,1467309355,4926,113,186,2.594
pagehelper/Mybatis-PageHelper,pagehelper-Mybatis-PageHelper,0.253521127,0.379061372,400,1304918030,3685,139,11993,6.415
qoomon/banking-swift-messages-java,qoomon-banking-swift-messages-java,0.002839833,0.003618517,1023,1538584948,40381,99,33,2.47
sailthru/sailthru-java-client,sailthru-sailthru-java-client,0.7,0.47740113,215,1428576660,3665,95,11,2.289
sblendorio/petscii-bbs,sblendorio-petscii-bbs,0.541516245,0.609058403,421,1461858486,6349,23,105,2.925
sigopt/sigopt-java,sigopt-sigopt-java,0.419923372,0.592702904,392,1352924177,8249,61,8,3.032
smartystreets/smartystreets-java-sdk,smartystreets-smartystreets-java-sdk,0.302380952,0.451768898,162,1518426051,11622,106,14,2.556
soot-oss/heros,soot-oss-heros,0.916666667,0.883084577,535,1372763399,1860,140,218,2.002
studerw/td-ameritrade-client,studerw-td-ameritrade-client,0.893617021,0.978540773,510,1223047729,2462,78,68,4.181
TNG/property-loader,TNG-property-loader,0.807692308,0.921348315,133,1514579293,1637,105,6,1.559
valfirst/jbehave-junit-runner,valfirst-jbehave-junit-runner,0.928571429,0.954898911,119,1339063187,2916,64,73,3.249
vaulttec/sonar-auth-oidc,vaulttec-sonar-auth-oidc,0.652631579,0.739416745,453,1418362834,8807,68,90,2.402
venushka/jmxeval,venushka-jmxeval,0.816120907,0.908139535,240,1520547138,13594,119,16,3.175
visenze/visearch-sdk-java,visenze-visearch-sdk-java,0.526645768,0.672877847,166,1253622376,3732,163,7,3.477
walmartlabs/gozer,walmartlabs-gozer,0.554153523,0.625250501,145,1398026466,9142,412,60,3.607
weswilliams/GivWenZen,weswilliams-GivWenZen,0.228196721,0.380971825,42,1524057572,5987,57,23,2.446
whizzosoftware/WZWave,whizzosoftware-WZWave,0.91011236,0.952743902,38,1501007638,2188,150,33,3.763
apache/commons-io,apache-commons-io,0.8751956182,0.8932723461,2066,1011985574,29545,1327,996,74.725
apache/commons-lang,apache-commons-lang,0.9108132621,0.9535468502,5144,1027049756,76097,4088,2693,16.998
google/compile-testing,google-compile-testing,0.5921985816,0.7563884157,437,1369259184,7641,227,690,3.653
imglib/imglib2,imglib-imglib2,0.3740549144,0.3797741846,4890,1257153541,44968,406,294,7.775
jmxtrans/embedded-jmxtrans,jmxtrans-embedded-jmxtrans,0.2983014862,0.3862370724,297,1355955195,5806,56,82,28.431
JodaOrg/joda-time,JodaOrg-joda-time,0.8171540549,0.9039400629,2243,1071601944,88254,4232,4973,5.281
jscep/jscep,jscep-jscep,0.7319587629,0.7792584009,814,1256212606,6268,207,114,42.902
meltmedia/jgroups-aws,meltmedia-jgroups-aws,0.3611111111,0.4813084112,134,1340666636,819,17,45,2.38
microfocus-idol/java-configuration-impl,microfocus-idol-java-configuration-impl,0.4226415094,0.6053215078,162,1385479908,2177,88,1,1.917
mitre/HTTP-Proxy-Servlet,mitre-HTTP-Proxy-Servlet,0.7920792079,0.8862433862,249,1317661587,1639,72,1455,19.136
square/javapoet,square-javapoet,0.8602040816,0.9381003202,701,1340652555,8037,304,10763,5.652
timmolter/Yank,timmolter-Yank,0.3220338983,0.4736842105,349,1303242246,1545,9,132,2.212
