project,nomop,ltw,ctw,ctw - nomop,ctw / nomop,ltw - ctw
dikhan-pagerduty-client,324.465,411.842,326.686,2.221,1.007,85.156
tomwhite-set-game,260.386,293.95,271.147,10.761,1.041,22.803
andylamp-BPlusTree,243.079,267.431,262.193,19.114,1.079,5.238
StarlangSoftware-TurkishWordNet,176.266,1513.392,1322.504,1146.238,7.503,190.888
CurrencyCloud-currencycloud-java,159.191,285.815,129.227,-29.964,0.812,156.588
DataDog-java-dogstatsd-client,130.947,154.393,131.056,0.109,1.001,23.337
LiveRamp-HyperMinHash-java,111.328,240.911,209.359,98.031,1.881,31.552
Shunshun94-discord-bcdicebot,91.85,139.136,96.415,4.565,1.05,42.721
indeedeng-vowpal-wabbit-java,91.358,495.52,401.858,310.5,4.399,93.662
addthis-stream-lib,90.555,1815.3,1401.439,1310.884,15.476,413.861
JavaMoney-jsr354-ri-bp,90.015,123.912,105.539,15.524,1.172,18.373
lukfor-pgs-calc,88.313,249.289,208.206,119.893,2.358,41.083
wxynihao-book118-downloader,86.675,128.903,89.212,2.537,1.029,39.691
PacktPublishing--Learn-Algorithms-and-Data-Structures-in-Java-for-Day-to-Day-Applications,84.794,98.589,82.98,-1.814,0.979,15.609
raydac-java-binary-block-parser,83.847,911.677,103.196,19.349,1.231,808.481
attoparser-attoparser,79.896,515.434,430.675,350.779,5.39,84.759
aelstad-keccakj,73.936,97.348,87.724,13.788,1.186,9.624
3redronin-mu-server,72.92,209.328,86.651,13.731,1.188,122.677
AuthorizeNet-sample-code-java,68.224,102.78,66.973,-1.251,0.982,35.807
msigwart-fakeload,67.738,203.865,76.422,8.684,1.128,127.443
jtmelton-attack-surface-analyzer,64.684,103.536,65.5,0.816,1.013,38.036
btrplace-scheduler,64.32,1014.753,730.67,666.35,11.36,284.083
ThoughtWire-hazelcast-locks,61.789,98.782,57.273,-4.516,0.927,41.509
flipkart-incubator-databuilderframework,56.487,350.527,230.645,174.158,4.083,119.882
