project,dynamicCIA,dynamicCIAThreads,dynamicCIALazy,dynamicCIALazyThreads,methodCIA,methodCIAThreads,ps3cl
actiontech-dble,1848789,1860968,1096713,1117743,1212160,1224267,2256161
alfasoftware-soapstone,527412,544975,468939,483619,497636,560340,1046493
apache-commons-io,3551549,3569171,1056104,1059976,762749,757885,617009
apache-commons-lang,647577,666892,358983,374674,328705,333300,341040
apache-sling-org-apache-sling-feature,304973,310909,239826,244515,236873,227084,494611
asciidoctor-asciidoclet,308705,349210,290307,333026,348703,384929,537169
braintree-braintree_java,381879,391386,297533,307834,274294,280364,466128
ChannelApe-shopify-sdk,1116313,1082758,779106,772255,753747,752753,850972
contentful-contentful.java,1396209,1404387,924514,935735,810903,832306,1036087
datastax-native-protocol,388426,390304,270088,270251,237348,241587,329549
davidmoten-rxjava2-file,335590,349746,250545,259981,255337,290444,531948
davidmoten-rxjava-slf4j,316328,334617,260639,276142,250424,282383,286044
devcon5io-mutation-analysis-plugin,650830,691215,432549,462929,447214,462170,505239
fsantiag-sonar-clojure,28921,27790,21793,21368,21829,21552,22104
gabrie-allaigre-sonar-gitlab-plugin,1697872,1728009,1118320,1157727,1027741,1070742,1269374
googleapis-java-pubsub-group-kafka-connector,224275,245047,213763,234723,3581783,3838680,574381
GoogleCloudPlatform-kafka-pubsub-emulator,731946,746594,374460,386286,295679,341463,363700
google-compile-testing,429073,438029,363614,368498,344968,358841,536720
imglib-imglib2,190454,194821,41625,42082,50915,51970,51958
jdbc-observations-datasource-proxy,683580,668498,488792,505575,335897,358194,594268
jmxtrans-embedded-jmxtrans,334591,344913,237349,250481,365507,378123,386245
JodaOrg-joda-time,1088626,1112979,622800,589107,559494,591631,461085
jscep-jscep,1888558,1906976,1128863,1136679,902096,927380,956131
jsunsoftware-http-request,436876,482031,341768,351543,275949,307733,433565
Mastercard-client-encryption-java,578258,589865,241046,262825,224665,255974,335923
mdewilde-opml-parser,164487,183362,150025,168154,185191,158057,241395
meltmedia-jgroups-aws,85032,95449,76422,86064,77001,105555,83952
microfocus-idol-java-configuration-impl,122872,140039,100200,112212,105475,126972,110881
mitre-HTTP-Proxy-Servlet,1287458,1314209,885014,914778,686076,718859,763165
Pablissimo-SonarTsPlugin,62832,63998,44890,44872,48961,48552,45032
pagehelper-Mybatis-PageHelper,772472,800068,569693,543320,547755,580358,744152
qoomon-banking-swift-messages-java,167240,172063,147745,149465,125636,133218,268246
sailthru-sailthru-java-client,115727,122109,84850,85652,91355,87529,109079
sblendorio-petscii-bbs,366768,370194,251344,254896,290577,295964,250457
sigopt-sigopt-java,300148,302004,229867,240897,211815,222345,343285
smartystreets-smartystreets-java-sdk,104028,113759,79273,84994,83241,94826,249169
soot-oss-heros,82424,84639,70118,72580,87310,91390,103547
square-javapoet,302237,301517,187536,186865,194520,190654,213735
studerw-td-ameritrade-client,423671,456476,357754,391910,326118,371649,557459
timmolter-Yank,96402,99250,80389,86749,165650,156315,114201
TNG-property-loader,57540,56294,41394,41192,38087,37126,45705
valfirst-jbehave-junit-runner,163834,163136,117251,118986,93977,93426,147063
vaulttec-sonar-auth-oidc,198890,218820,157365,176379,168429,198380,232852
venushka-jmxeval,147309,170861,124874,152128,103388,133088,167724
visenze-visearch-sdk-java,371460,369097,249735,252065,269499,265829,295716
walmartlabs-gozer,467660,475820,359689,366931,329116,334377,402929
weswilliams-GivWenZen,142982,167185,120553,143633,149151,169596,152015
whizzosoftware-WZWave,271252,272661,188890,195891,192923,198792,253987
