project,num of baseRV,num of SHAs,baseRV ratio
actiontech-dble,3,49,6.122
alfasoftware-soapstone,13,32,40.625
apache-sling-org-apache-sling-feature,8,35,22.857
asciidoctor-asciidoclet,10,24,41.666
braintree-braintree_java,5,49,10.204
ChannelApe-shopify-sdk,7,49,14.285
contentful-contentful.java,7,49,14.285
datastax-native-protocol,2,49,4.081
davidmoten-rxjava2-file,8,31,25.806
davidmoten-rxjava-slf4j,11,49,22.448
devcon5io-mutation-analysis-plugin,3,49,6.122
dropwizard-dropwizard-elasticsearch,6,16,37.500
fsantiag-sonar-clojure,0,7,0
gabrie-allaigre-sonar-gitlab-plugin,11,49,22.448
googleapis-java-pubsub-group-kafka-connector,15,18,83.333
GoogleCloudPlatform-kafka-pubsub-emulator,4,13,30.769
jdbc-observations-datasource-proxy,6,49,12.244
jsunsoftware-http-request,12,38,31.578
Mastercard-client-encryption-java,9,49,18.367
mdewilde-opml-parser,7,17,41.176
Pablissimo-SonarTsPlugin,0,9,0
pagehelper-Mybatis-PageHelper,7,49,14.285
qoomon-banking-swift-messages-java,5,17,29.411
sailthru-sailthru-java-client,0,21,0
sblendorio-petscii-bbs,0,49,0
sigopt-sigopt-java,3,49,6.122
smartystreets-smartystreets-java-sdk,4,19,21.052
soot-oss-heros,3,12,25.000
studerw-td-ameritrade-client,15,49,30.612
TNG-property-loader,2,14,14.285
valfirst-jbehave-junit-runner,2,18,11.111
vaulttec-sonar-auth-oidc,3,25,12.000
venushka-jmxeval,7,20,35.000
visenze-visearch-sdk-java,0,49,0
walmartlabs-gozer,5,49,10.204
weswilliams-GivWenZen,4,19,21.052
whizzosoftware-WZWave,3,49,6.122
addthis-stream-lib,1,13,7.692
apache-commons-dbcp,0,19,0
apache-commons-imaging,1,19,5.263
apache-commons-io,0,19,0
apache-commons-lang,2,19,10.526
fasseg-exp4j,1,49,2.040
google-compile-testing,25,49,51.020
imglib-imglib2,0,19,0
jmxtrans-embedded-jmxtrans,6,49,12.244
JodaOrg-joda-time,1,49,2.040
jscep-jscep,7,49,14.285
meltmedia-jgroups-aws,5,10,50.000
microfocus-idol-java-configuration-impl,4,23,17.391
mitre-HTTP-Proxy-Servlet,10,49,20.408
square-javapoet,0,19,0
timmolter-Yank,8,16,50.000
3redronin-mu-server,11,21,52.380
codelibs-elasticsearch-langfield,7,11,63.636
CurrencyCloud-currencycloud-java,2,24,8.333
