project,incJar old classes,incJar updated classes,incJar new classes,incJar all classes,incJar instr ratio,cleanBC old classes,cleanBC updated classes,cleanBC new classes,cleanBC all classes,cleanBC instr ratio
actiontech-dble,450,2167,132,2749,83.630,935,1682,132,2749,65.987
alfasoftware-soapstone,2006,4786,258,7050,71.546,3359,3433,258,7050,52.354
apache-sling-org-apache-sling-feature,1168,2289,238,3695,68.389,1973,1484,238,3695,46.603
asciidoctor-asciidoclet,21912,26472,20601,68985,68.236,36626,11758,20601,68985,46.907
braintree-braintree_java,71,84,19,174,59.195,81,74,19,174,53.448
ChannelApe-shopify-sdk,0,0,0,0,0,0,0,0,0,0
contentful-contentful.java,1819,6008,112,7939,77.087,2581,5246,112,7939,67.489
datastax-native-protocol,0,0,0,0,0,0,0,0,0,0
davidmoten-rxjava2-file,4209,2403,34,6646,36.668,5185,1427,34,6646,21.983
davidmoten-rxjava-slf4j,4397,3661,54,8112,45.796,6350,1708,54,8112,21.720
devcon5io-mutation-analysis-plugin,2545,7073,464,10082,74.756,3939,5679,464,10082,60.930
dropwizard-dropwizard-elasticsearch,0,0,0,0,0,0,0,0,0,0
fsantiag-sonar-clojure,159,4015,163,4337,96.333,1406,2768,163,4337,67.581
gabrie-allaigre-sonar-gitlab-plugin,6749,5614,603,12966,47.948,7554,4809,603,12966,41.739
googleapis-java-pubsub-group-kafka-connector,84296,49655,2171,136122,38.073,102369,31582,2171,136122,24.796
GoogleCloudPlatform-kafka-pubsub-emulator,5775,9473,387,15635,63.063,9488,5760,387,15635,39.315
jdbc-observations-datasource-proxy,277,431,54,762,63.648,521,187,54,762,31.627
jsunsoftware-http-request,16174,5949,5560,27683,41.574,18758,3365,5560,27683,32.240
Mastercard-client-encryption-java,4674,4634,295,9603,51.327,6335,2973,295,9603,34.031
mdewilde-opml-parser,793,7654,85,8532,90.705,2208,6239,85,8532,74.120
qoomon-banking-swift-messages-java,13666,9638,95,23399,41.595,18415,4889,95,23399,21.300
sailthru-sailthru-java-client,0,0,0,0,0,0,0,0,0,0
smartystreets-smartystreets-java-sdk,4173,1005,48,5226,20.149,4824,354,48,5226,7.692
soot-oss-heros,290,2751,17,3058,90.516,1093,1948,17,3058,64.257
vaulttec-sonar-auth-oidc,2259,4961,420,7640,70.431,3561,3659,420,7640,53.390
venushka-jmxeval,733,1706,864,3303,77.808,1165,1274,864,3303,64.729
weswilliams-GivWenZen,180,3599,1995,5774,96.882,575,3204,1995,5774,90.041
Pablissimo-SonarTsPlugin,0,0,0,0,0,0,0,0,0,0
pagehelper-Mybatis-PageHelper,4527,4155,489,9171,50.637,5670,3012,489,9171,38.174
sblendorio-petscii-bbs,0,0,0,0,0,0,0,0,0,0
sigopt-sigopt-java,58,2002,33,2093,97.228,83,1977,33,2093,96.034
studerw-td-ameritrade-client,6750,5405,275,12430,45.695,7683,4472,275,12430,38.189
TNG-property-loader,0,1300,18,1318,100.000,0,1300,18,1318,100.000
valfirst-jbehave-junit-runner,1602,1210,111,2923,45.193,2105,707,111,2923,27.984
visenze-visearch-sdk-java,0,0,0,0,0,0,0,0,0,0
walmartlabs-gozer,2956,3302,110,6368,53.580,4319,1939,110,6368,32.176
whizzosoftware-WZWave,0,0,0,0,0,0,0,0,0,0
addthis-stream-lib,79,1375,3,1457,94.577,877,577,3,1457,39.807
apache-commons-dbcp,0,0,0,0,0,0,0,0,0,0
apache-commons-imaging,0,121,5,126,100.000,0,121,5,126,100.000
apache-commons-io,0,0,0,0,0,0,0,0,0,0
apache-commons-lang,510,192,25,727,29.848,626,76,25,727,13.892
fasseg-exp4j,0,0,0,0,0,0,0,0,0,0
google-compile-testing,11434,13924,789,26147,56.270,17520,7838,789,26147,32.994
imglib-imglib2,0,0,0,0,0,0,0,0,0,0
jmxtrans-embedded-jmxtrans,2178,2648,517,5343,59.236,2766,2060,517,5343,48.231
JodaOrg-joda-time,0,40,5,45,100.000,0,40,5,45,100.000
jscep-jscep,5823,1887,157,7867,25.981,5843,1867,157,7867,25.727
meltmedia-jgroups-aws,1185,4906,433,6524,81.836,1703,4388,433,6524,73.896
microfocus-idol-java-configuration-impl,165,1780,410,2355,92.993,804,1141,410,2355,65.859
mitre-HTTP-Proxy-Servlet,3626,3459,620,7705,52.939,5528,1401,604,7533,26.616
square-javapoet,0,0,0,0,0,0,0,0,0,0
timmolter-Yank,2969,2042,259,5270,43.662,3298,1713,259,5270,37.419
3redronin-mu-server,16929,2264,1293,20486,17.363,17476,1717,1293,20486,14.692
codelibs-elasticsearch-langfield,30807,36062,2636,69505,55.676,45472,21397,2636,69505,34.577
CurrencyCloud-currencycloud-java,7766,3747,311,11824,34.320,9590,1923,311,11824,18.893
