sha,offline time,online time,instr all time,instr project time
264ef6b119e1d353c75df275b09fbd86079b9c0e,16612,339361,326557,3808
b31c3697de839b1a558e92dbca3c0b896db8315d,22655,255467,235786,2974
545f64698b58aad3695d6d75a0c8535a3a0e6e84,22012
23abfd5017c2a5547feb8a758f2b854ba3b5b25e,20463
340039b24a1c15cb9500202cd6e4308fc79c2cbf,31707,266378,237557,2886
3ecf49ed7fc13816573688b7f4ef5373fd14a4c1,29947,267058,238142,1031
9095573785050ed5db53abbe95faf023ccef54fc,30297,273877,245260,1680
870bce33d6081b801329bbc57ee65f3617d9edda,39228
6cf4cdbe38af8016d40d859efc9dec15b58140c5,45943
1e12ed6e7018b869dee82ad3745aa5c2e044aec9,127140,377692,254484,3932
9f1774e8f452372a2e0be0456a7875e88cff14d3,126252,363393,239802,2661
6fd834a9311db3c94e181216266712983e479743,153382,408421,257976,2937
