sha,offline time,online time,instr all time,instr project time
8045d9459af361c9560931dfb5523f9fb00b6990,40356,306188,284400,18568
930c6819bb1e419cf0ecf00582abf2553e131aac,12756
d4d887825ce4380123f50f0545abe1d26852a7e4,18337,57498,47404,8243
5d4868051c4f8d6a8f2f5bbbdd3c764c815b0b6f,12132,17013,7585,2704
ec156b31a3861a0d60c8a9d9bcebfc9a4f5f986d,12148,102239,92822,2731
491e8bea19dcfd588158b31c3ef9bbf00b7d3d55,42672,442123,405951,6500
269699bd434e41988eec3dd3ad8856be8059a00a,18964,380299,370321,8986
3860ffaa7dca47a9be908d96cfbdca676cd08b79,17624,243533,233628,7719
5a0a54c1309690a5324350f470fa22ebb6611b9e,12176,21448,11778,2506
ec48f1a0c93f0d06ffbf7dbbc0b0c1484b10bd4d,12778,28153,18197,2822
80ac5c3277b3f4859d70549f953d42fa23114ccd,16150,247711,237002,5441
554e87b30c38c57cc391d73fdd7dbbbae37aaf67,12030,147974,137837,1893
71bb14207ebdae703d6e5cbfa1f55b20bb353910,20757,342063,331492,10186
15bc458c8a956c9719a9c34d74d49503ce1e0fe6,12948
f849afeedc714d79bf86b8aa74b8683a55942eff,16842,303210,291717,5349
73d5dcbf018e20674e1b56c70e79dd3dfd5b4dbd,17753,323954,312142,5941
c499c395cef38f9bb4b52d157bc336bff0644b94,25263,404578,389446,10131
7290786e82db354f1d310c599f84150a7ec0ef8b,23608,368477,356031,11162
0882294f8a6100fe81b73a714357477c12172f87,14875
